#code_ligand_num	score
4eky_ligand_120	4.375575
4eky_ligand_140	5.58143
4eky_ligand_142	8.391373
4eky_ligand_145	3.5517278
4eky_ligand_147	4.6700926
4eky_ligand_149	5.966346
4eky_ligand_158	9.986711
4eky_ligand_163	11.193851
4eky_ligand_172	12.753659
4eky_ligand_175	10.701012
4eky_ligand_179	9.959123
4eky_ligand_188	7.561615
4eky_ligand_189	10.613477
4eky_ligand_191	11.842902
4eky_ligand_193	16.510075
4eky_ligand_194	9.5832815
4eky_ligand_202	9.636672
4eky_ligand_205	8.597042
4eky_ligand_208	12.994808
4eky_ligand_209	9.963516
4eky_ligand_210	6.379959
4eky_ligand_211	7.374162
4eky_ligand_212	1.4402498
4eky_ligand_216	7.0346603
4eky_ligand_217	8.750479
4eky_ligand_218	8.081293
4eky_ligand_222	6.723525
4eky_ligand_224	5.1277375
4eky_ligand_225	6.4450035
4eky_ligand_228	7.455156
4eky_ligand_229	9.30834
4eky_ligand_22	5.614595
4eky_ligand_230	5.056067
4eky_ligand_231	5.144281
4eky_ligand_233	10.283874
4eky_ligand_234	7.658884
4eky_ligand_235	11.762484
4eky_ligand_238	8.448842
4eky_ligand_240	11.046761
4eky_ligand_241	9.916224
4eky_ligand_245	7.5046678
4eky_ligand_246	7.575076
4eky_ligand_247	7.579534
4eky_ligand_248	6.658899
4eky_ligand_250	12.54625
4eky_ligand_253	8.294197
4eky_ligand_263	9.490074
4eky_ligand_270	16.681747
4eky_ligand_271	16.491049
4eky_ligand_272	8.731659
4eky_ligand_274	35.572758
4eky_ligand_275	10.671576
4eky_ligand_276	11.142861
4eky_ligand_277	4.2274303
4eky_ligand_279	10.38747
4eky_ligand_280	12.218043
4eky_ligand_282	15.624359
4eky_ligand_286	7.4999986
4eky_ligand_290	9.931866
4eky_ligand_291	10.715351
4eky_ligand_292	11.505754
4eky_ligand_300	9.039841
4eky_ligand_302	17.98273
4eky_ligand_308	19.6708
4eky_ligand_309	13.77675
4eky_ligand_310	24.905981
4eky_ligand_315	9.932682
4eky_ligand_317	12.768276
4eky_ligand_321	6.31765
4eky_ligand_328	20.783466
4eky_ligand_32	5.349713
4eky_ligand_332	17.503574
4eky_ligand_343	14.901044
4eky_ligand_344	15.646079
4eky_ligand_345	13.201887
4eky_ligand_347	18.429188
4eky_ligand_351	133.15604
4eky_ligand_352	120.22589
4eky_ligand_354	212.13441
4eky_ligand_356	146.28163
4eky_ligand_364	99.45207
4eky_ligand_372	262.642
4eky_ligand_373	66.68194
4eky_ligand_37	6.2496448
4eky_ligand_388	93.68876
4eky_ligand_389	116.16297
4eky_ligand_392	236.08
4eky_ligand_393	304.61954
4eky_ligand_396	117.17586
4eky_ligand_405	71.63549
4eky_ligand_412	118.86617
4eky_ligand_418	107.38148
4eky_ligand_421	131.61829
4eky_ligand_440	172.71486
4eky_ligand_441	50.99021
4eky_ligand_461	93.58419
4eky_ligand_484	74.74573
4eky_ligand_495	173.82431
4eky_ligand_79	8.231867
4eky_ligand_99	4.7274475
4eo8_ligand_101	7.9893184
4eo8_ligand_109	5.3460035
4eo8_ligand_131	9.082434
4eo8_ligand_133	6.888404
4eo8_ligand_135	8.890218
4eo8_ligand_139	8.708829
4eo8_ligand_13	9.904557
4eo8_ligand_140	9.204974
4eo8_ligand_144	7.614782
4eo8_ligand_14	11.390747
4eo8_ligand_157	19.442343
4eo8_ligand_165	15.554338
4eo8_ligand_167	23.949987
4eo8_ligand_169	11.628264
4eo8_ligand_173	16.627817
4eo8_ligand_177	38.629543
4eo8_ligand_185	20.47462
4eo8_ligand_186	12.406471
4eo8_ligand_187	12.539348
4eo8_ligand_191	20.816996
4eo8_ligand_197	14.067671
4eo8_ligand_201	4.7471557
4eo8_ligand_204	9.684395
4eo8_ligand_206	11.898566
4eo8_ligand_207	10.22554
4eo8_ligand_208	11.669445
4eo8_ligand_213	14.670073
4eo8_ligand_214	7.393741
4eo8_ligand_228	11.710858
4eo8_ligand_229	13.792462
4eo8_ligand_22	8.069174
4eo8_ligand_232	12.854589
4eo8_ligand_235	5.8580804
4eo8_ligand_239	14.451737
4eo8_ligand_243	13.566963
4eo8_ligand_249	13.765522
4eo8_ligand_251	20.652998
4eo8_ligand_255	14.2468
4eo8_ligand_261	25.13545
4eo8_ligand_263	9.233505
4eo8_ligand_264	16.488657
4eo8_ligand_268	32.43961
4eo8_ligand_271	12.281415
4eo8_ligand_280	21.25408
4eo8_ligand_287	17.449177
4eo8_ligand_292	12.515288
4eo8_ligand_294	10.34992
4eo8_ligand_297	13.635914
4eo8_ligand_298	24.82693
4eo8_ligand_2	7.3113904
4eo8_ligand_301	31.015259
4eo8_ligand_302	19.733192
4eo8_ligand_320	13.668535
4eo8_ligand_325	15.696418
4eo8_ligand_326	28.866898
4eo8_ligand_331	15.538797
4eo8_ligand_336	18.586676
4eo8_ligand_338	12.931335
4eo8_ligand_340	14.971575
4eo8_ligand_342	13.482171
4eo8_ligand_347	20.618822
4eo8_ligand_367	6.134386
4eo8_ligand_369	7.870124
4eo8_ligand_371	7.7507243
4eo8_ligand_381	8.330323
