#code_ligand_num	score
3p5o_ligand_103	23.882708
3p5o_ligand_152	59.824368
3p5o_ligand_154	60.372585
3p5o_ligand_157	53.088253
3p5o_ligand_159	59.874302
3p5o_ligand_160	44.20164
3p5o_ligand_161	68.519646
3p5o_ligand_170	84.33367
3p5o_ligand_173	74.75994
3p5o_ligand_175	78.74959
3p5o_ligand_176	58.123745
3p5o_ligand_177	63.385624
3p5o_ligand_183	90.92783
3p5o_ligand_185	53.417934
3p5o_ligand_187	59.663998
3p5o_ligand_191	49.87589
3p5o_ligand_192	81.020805
3p5o_ligand_193	59.45126
3p5o_ligand_195	38.41344
3p5o_ligand_196	71.73964
3p5o_ligand_200	60.45122
3p5o_ligand_202	43.487118
3p5o_ligand_207	40.997093
3p5o_ligand_208	44.02871
3p5o_ligand_209	43.46833
3p5o_ligand_211	47.655773
3p5o_ligand_212	37.932716
3p5o_ligand_213	42.58062
3p5o_ligand_218	31.274006
3p5o_ligand_222	37.751175
3p5o_ligand_225	50.74648
3p5o_ligand_227	31.507757
3p5o_ligand_230	49.90257
3p5o_ligand_231	39.074806
3p5o_ligand_233	66.43389
3p5o_ligand_235	43.752434
3p5o_ligand_236	55.80076
3p5o_ligand_23	27.639093
3p5o_ligand_240	39.974007
3p5o_ligand_241	44.3284
3p5o_ligand_242	55.78634
3p5o_ligand_243	39.473587
3p5o_ligand_245	42.33086
3p5o_ligand_249	82.80491
3p5o_ligand_260	58.43449
3p5o_ligand_268	57.58643
3p5o_ligand_276	55.50481
3p5o_ligand_277	53.00565
3p5o_ligand_293	63.45906
3p5o_ligand_296	86.2302
3p5o_ligand_300	48.90916
3p5o_ligand_308	69.387085
3p5o_ligand_309	81.936615
3p5o_ligand_311	43.426666
3p5o_ligand_326	58.04804
3p5o_ligand_328	41.49896
3p5o_ligand_329	38.61727
3p5o_ligand_331	41.96923
3p5o_ligand_333	69.68664
3p5o_ligand_337	67.64394
3p5o_ligand_339	45.726776
3p5o_ligand_340	91.34719
3p5o_ligand_341	36.321285
3p5o_ligand_349	51.720375
3p5o_ligand_350	39.82603
3p5o_ligand_352	28.313234
3p5o_ligand_356	25.96529
3p5o_ligand_364	31.722143
3p5o_ligand_365	40.832756
3p5o_ligand_366	19.368855
3p5o_ligand_374	37.715202
3p5o_ligand_380	35.214016
3p5o_ligand_381	29.241768
3p5o_ligand_382	26.683945
3p5o_ligand_383	40.01707
3p5o_ligand_387	61.631172
3p5o_ligand_389	69.18693
3p5o_ligand_390	37.316353
3p5o_ligand_392	57.861546
3p5o_ligand_393	28.965843
3p5o_ligand_394	88.238014
3p5o_ligand_395	55.73195
3p5o_ligand_396	74.27804
3p5o_ligand_397	41.141575
3p5o_ligand_398	62.358994
3p5o_ligand_39	30.210669
3p5o_ligand_400	114.4779
3p5o_ligand_411	24.098759
3p5o_ligand_440	30.516726
3p5o_ligand_446	24.434435
3p5o_ligand_466	32.57353
3p5o_ligand_47	31.729252
3p5o_ligand_490	26.89162
3p5o_ligand_62	34.872402
3p5o_ligand_68	27.606009
3p5o_ligand_78	26.630184
3p5o_ligand_79	33.26673
3p5o_ligand_80	31.30133
3p5o_ligand_82	36.088654
3p5o_ligand_86	35.071335
3prs_ligand_106	161.63753
3prs_ligand_110	101.45284
3prs_ligand_140	92.64431
3prs_ligand_146	105.832924
3prs_ligand_147	193.07191
3prs_ligand_153	439.46716
3prs_ligand_156	454.74106
3prs_ligand_157	453.28442
3prs_ligand_160	371.07312
3prs_ligand_164	484.12225
3prs_ligand_165	338.6235
3prs_ligand_166	164.31807
3prs_ligand_167	374.1972
3prs_ligand_168	465.62146
3prs_ligand_171	273.81982
3prs_ligand_173	365.9394
3prs_ligand_175	466.52264
3prs_ligand_176	471.19733
3prs_ligand_177	267.3109
3prs_ligand_178	450.03064
3prs_ligand_180	319.0693
3prs_ligand_182	446.73328
3prs_ligand_186	420.0474
3prs_ligand_187	476.1893
3prs_ligand_189	511.56027
3prs_ligand_190	376.86252
3prs_ligand_192	445.48224
3prs_ligand_194	410.19424
3prs_ligand_195	338.78644
3prs_ligand_196	537.114
3prs_ligand_197	361.26764
3prs_ligand_198	457.70825
3prs_ligand_203	299.41852
3prs_ligand_209	154.10683
3prs_ligand_213	332.52274
3prs_ligand_216	428.08902
3prs_ligand_217	369.06604
3prs_ligand_218	313.45462
3prs_ligand_220	354.0205
3prs_ligand_222	335.4803
3prs_ligand_224	359.02213
3prs_ligand_232	354.0709
3prs_ligand_233	321.94003
3prs_ligand_236	258.33743
3prs_ligand_238	340.39966
3prs_ligand_239	498.4777
3prs_ligand_244	384.20038
3prs_ligand_245	459.56754
3prs_ligand_251	307.70877
3prs_ligand_256	296.6728
3prs_ligand_264	272.52832
3prs_ligand_270	358.54443
3prs_ligand_271	312.91577
3prs_ligand_273	374.207
3prs_ligand_278	421.12726
3prs_ligand_284	404.7901
3prs_ligand_285	351.91852
3prs_ligand_288	311.2607
3prs_ligand_291	402.08334
3prs_ligand_296	310.34012
3prs_ligand_301	209.74994
3prs_ligand_303	204.48784
3prs_ligand_306	374.52298
3prs_ligand_307	235.48808
3prs_ligand_309	279.11453
3prs_ligand_311	407.0844
3prs_ligand_313	307.11423
3prs_ligand_317	270.982
3prs_ligand_318	373.01816
3prs_ligand_320	244.98422
3prs_ligand_321	374.95734
3prs_ligand_322	316.09436
3prs_ligand_323	446.17468
3prs_ligand_327	364.32333
3prs_ligand_330	343.24585
3prs_ligand_333	543.94916
3prs_ligand_338	374.33487
3prs_ligand_339	444.9045
3prs_ligand_343	347.55478
3prs_ligand_346	353.9787
3prs_ligand_347	387.4831
3prs_ligand_354	59.2568
3prs_ligand_356	59.42867
3prs_ligand_364	58.77482
3prs_ligand_375	111.62357
3prs_ligand_378	94.39083
3prs_ligand_379	118.352165
3prs_ligand_382	120.74094
3prs_ligand_398	110.77278
3prs_ligand_402	57.43729
3prs_ligand_417	95.80419
3prs_ligand_420	78.29793
3prs_ligand_431	78.26899
3prs_ligand_432	105.98348
3prs_ligand_445	67.47232
3prs_ligand_448	78.14628
3prs_ligand_460	91.82688
3prs_ligand_485	84.013664
3prs_ligand_75	122.25062
3prs_ligand_7	173.05293
3pww_ligand_112	134.27826
3pww_ligand_116	124.11578
3pww_ligand_127	94.17553
3pww_ligand_129	93.727455
3pww_ligand_141	119.59561
3pww_ligand_152	461.14825
3pww_ligand_154	424.41058
3pww_ligand_157	290.42694
3pww_ligand_161	398.69638
3pww_ligand_163	476.511
3pww_ligand_165	472.09116
3pww_ligand_174	519.139
3pww_ligand_180	258.40085
3pww_ligand_181	411.6006
3pww_ligand_182	534.0878
3pww_ligand_183	465.92032
3pww_ligand_184	271.35617
3pww_ligand_185	334.54324
3pww_ligand_190	201.98302
3pww_ligand_192	321.05118
3pww_ligand_194	620.25415
3pww_ligand_195	422.2248
3pww_ligand_198	365.12613
3pww_ligand_199	233.8741
3pww_ligand_201	140.60701
3pww_ligand_205	266.29553
3pww_ligand_206	345.7457
3pww_ligand_207	292.45132
3pww_ligand_208	226.22348
3pww_ligand_209	350.40744
3pww_ligand_210	269.33878
3pww_ligand_211	162.43857
3pww_ligand_214	281.3379
3pww_ligand_215	282.16653
3pww_ligand_217	319.3414
3pww_ligand_220	332.39185
3pww_ligand_221	388.56866
3pww_ligand_223	221.21172
3pww_ligand_224	434.57275
3pww_ligand_228	160.5018
3pww_ligand_234	375.05273
3pww_ligand_238	285.48892
3pww_ligand_240	349.07547
3pww_ligand_245	246.07738
3pww_ligand_249	432.20886
3pww_ligand_250	352.66525
3pww_ligand_253	284.82498
3pww_ligand_254	348.07507
3pww_ligand_259	248.76006
3pww_ligand_264	412.39413
3pww_ligand_266	253.84091
3pww_ligand_275	334.0663
3pww_ligand_277	218.71185
3pww_ligand_282	227.12865
3pww_ligand_285	457.13696
3pww_ligand_291	333.1178
3pww_ligand_302	263.28635
3pww_ligand_303	250.62308
3pww_ligand_307	350.10583
3pww_ligand_308	337.1947
