#code_ligand_num	score
1a30_ligand_100	7.9604106
1a30_ligand_105	6.9247007
1a30_ligand_106	6.8074813
1a30_ligand_108	4.222749
1a30_ligand_119	4.968687
1a30_ligand_134	4.14137
1a30_ligand_138	5.503206
1a30_ligand_13	7.289832
1a30_ligand_141	5.7409034
1a30_ligand_148	8.864658
1a30_ligand_14	9.232267
1a30_ligand_158	20.407589
1a30_ligand_159	57.179897
1a30_ligand_15	4.3692074
1a30_ligand_166	31.610435
1a30_ligand_167	19.590588
1a30_ligand_169	23.622673
1a30_ligand_16	4.8998485
1a30_ligand_171	37.22811
1a30_ligand_182	20.835136
1a30_ligand_196	97.02441
1a30_ligand_197	13.641565
1a30_ligand_202	14.0866995
1a30_ligand_203	6.4614215
1a30_ligand_206	9.234299
1a30_ligand_207	10.842475
1a30_ligand_215	9.923653
1a30_ligand_216	13.504121
1a30_ligand_217	12.748691
1a30_ligand_218	8.865013
1a30_ligand_219	6.211701
1a30_ligand_21	6.944936
1a30_ligand_220	12.334047
1a30_ligand_225	14.534694
1a30_ligand_22	6.0991344
1a30_ligand_233	12.472601
1a30_ligand_239	11.956165
1a30_ligand_23	4.8904195
1a30_ligand_243	15.03693
1a30_ligand_246	14.345694
1a30_ligand_248	11.954112
1a30_ligand_253	23.844534
1a30_ligand_26	4.9177046
1a30_ligand_274	14.443612
1a30_ligand_275	15.988743
1a30_ligand_279	12.047539
1a30_ligand_27	7.170221
1a30_ligand_282	15.282391
1a30_ligand_290	16.369942
1a30_ligand_291	22.226934
1a30_ligand_294	21.994272
1a30_ligand_29	6.160302
1a30_ligand_2	5.5888257
1a30_ligand_310	26.980698
1a30_ligand_314	15.7265005
1a30_ligand_315	23.053148
1a30_ligand_318	26.532385
1a30_ligand_323	11.579512
1a30_ligand_326	17.515827
1a30_ligand_329	23.301434
1a30_ligand_34	6.7797074
1a30_ligand_353	4.8841977
1a30_ligand_356	7.5650764
1a30_ligand_357	5.3356814
1a30_ligand_363	10.344677
1a30_ligand_366	9.092464
1a30_ligand_36	1.1792951
1a30_ligand_372	6.1110125
1a30_ligand_379	6.9012394
1a30_ligand_38	5.6789703
1a30_ligand_391	9.455175
1a30_ligand_395	10.999983
1a30_ligand_398	11.319358
1a30_ligand_39	8.339089
1a30_ligand_411	4.752969
1a30_ligand_421	5.959155
1a30_ligand_42	6.2822304
1a30_ligand_45	5.915328
1a30_ligand_467	9.18858
1a30_ligand_481	8.206173
1a30_ligand_496	2.6448588
1a30_ligand_49	6.4812093
1a30_ligand_52	5.92689
1a30_ligand_56	10.140047
1a30_ligand_59	7.44988
1a30_ligand_63	10.692869
1a30_ligand_64	7.3314524
1a30_ligand_68	5.774775
1a30_ligand_6	5.7393146
1a30_ligand_73	11.486979
1a30_ligand_76	7.302457
1a30_ligand_7	6.4486394
1a30_ligand_81	1.0416081
1a30_ligand_82	6.7104173
1a30_ligand_88	9.173658
1a30_ligand_94	5.5331607
1a30_ligand_95	5.9800234
1a30_ligand_97	6.241906
1a30_ligand_99	3.2313516
1a30_ligand_9	6.734228
1bcu_ligand_105	-3.9483397
1bcu_ligand_126	96.67579
1bcu_ligand_153	12.737636
1bcu_ligand_170	-4.3691974
1bcu_ligand_172	1.75346
1bcu_ligand_188	11.065056
1bcu_ligand_189	5.083394
1bcu_ligand_211	6.504964
1bcu_ligand_220	6.35162
1bcu_ligand_221	4.1334243
1bcu_ligand_239	9.546674
1bcu_ligand_241	1.7488806
1bcu_ligand_248	5.2734337
1bcu_ligand_250	4.7932086
1bcu_ligand_252	10.350962
1bcu_ligand_256	3.4331434
1bcu_ligand_258	1.9834433
1bcu_ligand_265	4.4310513
1bcu_ligand_269	1.2512116
1bcu_ligand_26	-1.9382097
1bcu_ligand_270	7.9743485
1bcu_ligand_273	5.2019672
1bcu_ligand_277	5.393355
1bcu_ligand_278	0.8531943
1bcu_ligand_284	5.0679736
1bcu_ligand_286	16.020102
1bcu_ligand_288	6.2888145
1bcu_ligand_293	2.9762683
1bcu_ligand_300	1.1352153
1bcu_ligand_312	14.568863
1bcu_ligand_327	10.8354225
1bcu_ligand_329	12.001464
1bcu_ligand_342	11.543289
1bcu_ligand_343	14.080187
1bcu_ligand_345	10.520089
1bcu_ligand_347	7.677597
1bcu_ligand_352	5.806479
