#code_ligand_num	score
3p5o_ligand_101	11.078895
3p5o_ligand_103	8.665955
3p5o_ligand_107	10.563635
3p5o_ligand_109	6.858522
3p5o_ligand_10	7.8428164
3p5o_ligand_112	10.663666
3p5o_ligand_113	7.392144
3p5o_ligand_119	9.368172
3p5o_ligand_11	12.601473
3p5o_ligand_134	8.255762
3p5o_ligand_135	11.041743
3p5o_ligand_137	8.550857
3p5o_ligand_148	13.934593
3p5o_ligand_149	8.318135
3p5o_ligand_154	89.283844
3p5o_ligand_160	70.61252
3p5o_ligand_169	46.545555
3p5o_ligand_178	50.99487
3p5o_ligand_182	57.64736
3p5o_ligand_184	32.20256
3p5o_ligand_186	39.542576
3p5o_ligand_187	59.407673
3p5o_ligand_189	70.50387
3p5o_ligand_190	45.795544
3p5o_ligand_199	36.68068
3p5o_ligand_200	93.17705
3p5o_ligand_201	17.114925
3p5o_ligand_202	20.556805
3p5o_ligand_203	40.700397
3p5o_ligand_206	53.511692
3p5o_ligand_207	43.632603
3p5o_ligand_208	30.640144
3p5o_ligand_20	7.636659
3p5o_ligand_211	81.39876
3p5o_ligand_212	29.102272
3p5o_ligand_221	47.902893
3p5o_ligand_223	52.669918
3p5o_ligand_227	39.957115
3p5o_ligand_228	56.03714
3p5o_ligand_229	79.788284
3p5o_ligand_231	29.214903
3p5o_ligand_234	62.448227
3p5o_ligand_237	68.75
3p5o_ligand_238	35.04836
3p5o_ligand_241	59.796234
3p5o_ligand_244	53.522923
3p5o_ligand_249	44.49993
3p5o_ligand_250	48.87201
3p5o_ligand_265	61.628216
3p5o_ligand_281	62.892445
3p5o_ligand_283	66.282875
3p5o_ligand_30	11.285152
3p5o_ligand_314	65.41084
3p5o_ligand_325	70.93403
3p5o_ligand_32	8.34881
3p5o_ligand_336	61.638874
3p5o_ligand_33	10.164068
3p5o_ligand_343	97.12374
3p5o_ligand_34	12.317219
3p5o_ligand_35	7.577418
3p5o_ligand_362	33.18967
3p5o_ligand_366	43.51928
3p5o_ligand_36	10.963137
3p5o_ligand_371	34.500977
3p5o_ligand_376	47.51881
3p5o_ligand_377	51.976925
3p5o_ligand_383	39.119183
3p5o_ligand_386	76.94807
3p5o_ligand_389	56.047375
3p5o_ligand_391	56.18057
3p5o_ligand_394	53.945866
3p5o_ligand_395	41.81694
3p5o_ligand_396	59.730747
3p5o_ligand_398	90.6872
3p5o_ligand_3	9.790049
3p5o_ligand_402	18.189085
3p5o_ligand_423	32.647793
3p5o_ligand_424	30.886667
3p5o_ligand_436	26.061846
3p5o_ligand_44	7.071443
3p5o_ligand_45	13.918185
3p5o_ligand_48	8.885435
3p5o_ligand_4	9.922124
3p5o_ligand_50	14.044234
3p5o_ligand_52	7.325046
3p5o_ligand_59	7.5695906
3p5o_ligand_60	10.95016
3p5o_ligand_68	6.2862034
3p5o_ligand_69	9.069111
3p5o_ligand_6	10.32324
3p5o_ligand_70	9.473713
3p5o_ligand_77	8.188687
3p5o_ligand_79	8.384026
3p5o_ligand_86	13.403022
3p5o_ligand_88	8.612702
3p5o_ligand_91	8.969617
3p5o_ligand_92	9.301219
3p5o_ligand_95	10.599742
3p5o_ligand_96	7.6587343
3p5o_ligand_9	15.278949
3prs_ligand_100	12.000521
3prs_ligand_101	6.41485
3prs_ligand_102	8.884459
3prs_ligand_103	9.241685
3prs_ligand_106	9.566161
3prs_ligand_107	8.027182
3prs_ligand_113	13.675105
3prs_ligand_119	9.675902
3prs_ligand_122	8.923785
3prs_ligand_123	9.613585
3prs_ligand_124	9.816291
3prs_ligand_125	10.853882
3prs_ligand_128	7.0060954
3prs_ligand_132	8.896662
3prs_ligand_133	10.553602
3prs_ligand_136	8.542563
3prs_ligand_13	6.611449
3prs_ligand_143	7.625933
3prs_ligand_144	7.411387
3prs_ligand_147	5.680897
3prs_ligand_148	6.4535804
3prs_ligand_14	8.616179
3prs_ligand_153	139.22964
3prs_ligand_158	128.10307
3prs_ligand_164	264.6083
3prs_ligand_166	267.4595
3prs_ligand_175	151.83975
3prs_ligand_181	248.59027
3prs_ligand_182	300.69366
3prs_ligand_183	235.7943
3prs_ligand_184	398.88956
3prs_ligand_187	282.60025
3prs_ligand_188	279.58548
3prs_ligand_190	271.3547
3prs_ligand_193	252.81076
3prs_ligand_195	270.4385
3prs_ligand_203	109.662964
3prs_ligand_208	130.38136
3prs_ligand_210	82.68725
3prs_ligand_224	181.94263
3prs_ligand_226	151.64099
3prs_ligand_22	11.408241
3prs_ligand_230	128.37862
3prs_ligand_231	156.32549
3prs_ligand_233	161.62512
3prs_ligand_241	138.85356
3prs_ligand_245	180.22302
3prs_ligand_250	114.082405
3prs_ligand_262	175.43602
3prs_ligand_269	123.442955
3prs_ligand_26	7.2174516
3prs_ligand_271	198.75299
3prs_ligand_274	177.64943
3prs_ligand_276	122.476364
3prs_ligand_281	207.06746
3prs_ligand_285	89.70017
3prs_ligand_289	170.65959
3prs_ligand_28	10.300358
3prs_ligand_299	123.51963
3prs_ligand_300	164.20631
3prs_ligand_305	109.829865
3prs_ligand_306	40.302822
3prs_ligand_313	79.3429
3prs_ligand_316	59.543594
3prs_ligand_318	165.6934
3prs_ligand_31	9.127463
3prs_ligand_327	121.42571
3prs_ligand_33	10.335678
3prs_ligand_344	124.410286
3prs_ligand_349	87.10313
3prs_ligand_363	12.315362
3prs_ligand_370	36.2949
3prs_ligand_378	26.66209
3prs_ligand_37	7.9903502
3prs_ligand_380	36.00598
3prs_ligand_390	36.497753
3prs_ligand_393	63.744625
3prs_ligand_396	52.480804
3prs_ligand_399	32.890697
3prs_ligand_3	8.705288
3prs_ligand_40	8.904679
3prs_ligand_415	18.206997
3prs_ligand_417	19.765915
3prs_ligand_418	11.619506
3prs_ligand_41	6.9680634
3prs_ligand_426	12.039663
3prs_ligand_477	15.523155
3prs_ligand_51	8.0883
3prs_ligand_56	7.6971135
3prs_ligand_62	6.402956
3prs_ligand_66	7.161401
3prs_ligand_73	9.79378
3prs_ligand_77	13.344244
3prs_ligand_81	10.47309
3prs_ligand_86	5.9270983
3prs_ligand_88	5.8055625
3prs_ligand_91	13.537207
3prs_ligand_94	11.329836
3prs_ligand_95	8.7198105
3prs_ligand_99	9.036594
3pww_ligand_101	6.604016
3pww_ligand_103	9.514511
3pww_ligand_111	7.462525
3pww_ligand_116	10.872062
3pww_ligand_124	7.497558
3pww_ligand_127	9.816207
3pww_ligand_134	9.768971
3pww_ligand_135	10.1538725
3pww_ligand_136	14.698129
3pww_ligand_139	8.363508
3pww_ligand_13	11.852117
3pww_ligand_141	6.9071817
3pww_ligand_142	8.812347
3pww_ligand_149	7.474603
3pww_ligand_150	9.918235
3pww_ligand_161	175.25981
3pww_ligand_162	221.62659
3pww_ligand_171	222.11478
3pww_ligand_173	145.68372
3pww_ligand_180	203.20291
3pww_ligand_181	178.36037
3pww_ligand_182	195.66159
3pww_ligand_183	157.12355
3pww_ligand_184	290.3562
3pww_ligand_190	220.05893
3pww_ligand_192	229.69234
3pww_ligand_202	65.10524
3pww_ligand_206	55.546307
3pww_ligand_210	99.793304
3pww_ligand_217	113.542694
3pww_ligand_218	130.5421
3pww_ligand_220	135.09178
3pww_ligand_223	148.77963
3pww_ligand_236	104.82927
3pww_ligand_237	66.97345
3pww_ligand_23	7.7915583
3pww_ligand_241	81.676346
3pww_ligand_248	152.8466
3pww_ligand_24	10.336916
3pww_ligand_250	132.38638
3pww_ligand_256	120.8018
3pww_ligand_26	9.314667
3pww_ligand_27	12.031901
3pww_ligand_284	87.430046
3pww_ligand_295	113.280205
3pww_ligand_299	120.78078
3pww_ligand_302	16.895658
3pww_ligand_306	41.76404
3pww_ligand_310	47.223053
3pww_ligand_315	41.808125
3pww_ligand_319	163.66959
3pww_ligand_320	96.218704
3pww_ligand_328	121.50518
3pww_ligand_32	7.2863197
3pww_ligand_332	217.49738
3pww_ligand_338	134.05179
3pww_ligand_349	138.26189
3pww_ligand_350	169.24843
3pww_ligand_35	8.004866
3pww_ligand_37	4.4913573
3pww_ligand_386	61.660297
3pww_ligand_393	102.23746
3pww_ligand_396	35.11624
3pww_ligand_397	84.11895
3pww_ligand_402	8.971627
3pww_ligand_403	6.857719
3pww_ligand_404	8.898753
3pww_ligand_407	6.652298
3pww_ligand_408	7.5372777
3pww_ligand_411	9.504709
3pww_ligand_417	12.503716
3pww_ligand_43	6.6779056
3pww_ligand_446	51.348953
3pww_ligand_450	65.29139
3pww_ligand_453	11.473759
3pww_ligand_461	13.725323
3pww_ligand_464	8.239113
3pww_ligand_468	8.295069
3pww_ligand_473	13.674957
3pww_ligand_47	6.5919003
3pww_ligand_483	13.07926
3pww_ligand_494	17.868637
3pww_ligand_497	53.71829
3pww_ligand_500	16.180498
3pww_ligand_55	7.538234
3pww_ligand_5	7.7832084
3pww_ligand_61	8.123183
3pww_ligand_65	11.195537
3pww_ligand_69	11.034471
3pww_ligand_6	8.844283
3pww_ligand_71	10.177623
3pww_ligand_73	10.279943
3pww_ligand_74	10.782186
3pww_ligand_77	9.887657
3pww_ligand_78	7.323171
3pww_ligand_87	13.054195
3pww_ligand_89	4.6227994
3pww_ligand_90	9.606885
3pww_ligand_94	8.9865055
3pww_ligand_99	12.298476
3pxf_ligand_105	8.294001
3pxf_ligand_107	9.05917
3pxf_ligand_110	7.6495404
3pxf_ligand_115	4.211805
3pxf_ligand_120	6.8158145
3pxf_ligand_121	9.156499
3pxf_ligand_124	6.452462
3pxf_ligand_125	3.8153093
3pxf_ligand_135	7.913484
3pxf_ligand_136	9.636458
3pxf_ligand_137	5.548879
3pxf_ligand_139	5.951073
3pxf_ligand_13	6.654541
3pxf_ligand_148	7.8812475
3pxf_ligand_154	21.079065
3pxf_ligand_161	24.98166
3pxf_ligand_166	27.409243
3pxf_ligand_169	26.406042
3pxf_ligand_172	12.517397
3pxf_ligand_174	30.022995
3pxf_ligand_17	9.09479
3pxf_ligand_181	21.749386
3pxf_ligand_182	13.039341
3pxf_ligand_186	27.155521
3pxf_ligand_188	18.842493
3pxf_ligand_193	22.19013
3pxf_ligand_194	20.041752
3pxf_ligand_195	26.001534
3pxf_ligand_198	26.593006
3pxf_ligand_200	21.62355
3pxf_ligand_201	11.258866
3pxf_ligand_205	19.854128
3pxf_ligand_206	11.019227
3pxf_ligand_208	14.817935
3pxf_ligand_212	8.649637
3pxf_ligand_215	12.17019
3pxf_ligand_217	13.877594
