#code_ligand_num	score
1qf1_ligand_248	6.83501
1qf1_ligand_250	8.98916
1qf1_ligand_252	12.381473
1qf1_ligand_254	10.169233
1qf1_ligand_257	20.033716
1qf1_ligand_263	12.404602
1qf1_ligand_265	17.772213
1qf1_ligand_268	7.207307
1qf1_ligand_271	15.136321
1qf1_ligand_272	9.019121
1qf1_ligand_273	5.1211443
1qf1_ligand_275	12.223329
1qf1_ligand_276	13.241196
1qf1_ligand_278	9.380849
1qf1_ligand_279	11.346809
1qf1_ligand_27	5.7702622
1qf1_ligand_285	8.856874
1qf1_ligand_288	11.818396
1qf1_ligand_289	63.576862
1qf1_ligand_292	9.282493
1qf1_ligand_295	17.688847
1qf1_ligand_296	9.080584
1qf1_ligand_299	7.6445217
1qf1_ligand_300	7.0148325
1qf1_ligand_302	12.775362
1qf1_ligand_307	23.503946
1qf1_ligand_310	8.536504
1qf1_ligand_312	15.238716
1qf1_ligand_313	22.768991
1qf1_ligand_316	10.585713
1qf1_ligand_317	9.053793
1qf1_ligand_318	27.249166
1qf1_ligand_323	10.919342
1qf1_ligand_326	28.77392
1qf1_ligand_327	14.979638
1qf1_ligand_328	23.22045
1qf1_ligand_331	17.391838
1qf1_ligand_333	19.071507
1qf1_ligand_338	9.8559475
1qf1_ligand_339	22.522266
1qf1_ligand_347	17.34585
1qf1_ligand_348	12.121752
1qf1_ligand_349	13.916455
1qf1_ligand_428	6.150943
1qf1_ligand_444	4.3391666
1qf1_ligand_483	6.5569453
1qf1_ligand_53	9.621496
1qf1_ligand_76	10.360681
1qf1_ligand_81	8.407012
1qf1_ligand_89	9.139408
1qkt_ligand_117	8.735175
1qkt_ligand_151	9.546709
1qkt_ligand_152	24.110395
1qkt_ligand_156	22.582243
1qkt_ligand_161	14.266557
1qkt_ligand_164	15.038394
1qkt_ligand_166	13.805355
1qkt_ligand_168	5.410106
1qkt_ligand_170	20.634647
1qkt_ligand_171	14.699117
1qkt_ligand_174	5.598869
1qkt_ligand_184	11.748568
1qkt_ligand_185	5.6335325
1qkt_ligand_186	18.813023
1qkt_ligand_193	9.229975
1qkt_ligand_195	13.531264
1qkt_ligand_198	7.4797273
1qkt_ligand_199	10.843218
1qkt_ligand_206	8.0919285
1qkt_ligand_207	8.172459
1qkt_ligand_210	5.4951787
1qkt_ligand_212	10.296571
1qkt_ligand_214	6.2741547
1qkt_ligand_219	8.615449
1qkt_ligand_222	9.039245
1qkt_ligand_229	11.1755905
1qkt_ligand_230	10.122975
1qkt_ligand_234	12.917399
1qkt_ligand_236	9.287377
1qkt_ligand_238	10.54001
1qkt_ligand_245	9.296839
1qkt_ligand_247	13.816047
1qkt_ligand_249	11.312292
1qkt_ligand_254	32.44022
1qkt_ligand_257	17.69247
1qkt_ligand_259	18.581486
1qkt_ligand_260	15.126116
1qkt_ligand_262	10.740799
1qkt_ligand_263	16.209494
1qkt_ligand_266	10.435064
1qkt_ligand_274	11.295412
1qkt_ligand_275	11.428607
1qkt_ligand_276	14.423501
1qkt_ligand_277	13.3548765
1qkt_ligand_279	12.351693
1qkt_ligand_280	14.558359
1qkt_ligand_282	9.420698
1qkt_ligand_283	6.0166683
1qkt_ligand_284	9.839654
1qkt_ligand_288	12.37033
1qkt_ligand_289	8.767036
1qkt_ligand_290	8.988018
1qkt_ligand_291	14.678093
1qkt_ligand_292	11.704388
1qkt_ligand_294	10.651724
1qkt_ligand_295	16.473452
1qkt_ligand_296	18.295006
1qkt_ligand_298	9.512396
1qkt_ligand_302	15.080626
1qkt_ligand_303	15.134873
1qkt_ligand_304	9.26853
1qkt_ligand_306	11.243606
1qkt_ligand_307	10.384475
1qkt_ligand_312	7.400768
1qkt_ligand_319	13.664454
1qkt_ligand_322	11.553834
1qkt_ligand_325	14.278036
1qkt_ligand_329	7.6361375
1qkt_ligand_330	9.380266
1qkt_ligand_332	19.015537
1qkt_ligand_336	38.766373
1qkt_ligand_337	14.467293
1qkt_ligand_341	13.426871
1qkt_ligand_350	21.158417
1qkt_ligand_351	7.222755
1qkt_ligand_352	8.034719
1qkt_ligand_355	7.4652896
1qkt_ligand_357	6.623374
1qkt_ligand_360	7.206485
1qkt_ligand_370	5.609437
1qkt_ligand_374	7.4263277
1qkt_ligand_379	5.912887
1qkt_ligand_387	9.552587
1qkt_ligand_390	7.2415853
1qkt_ligand_395	7.5982003
1qkt_ligand_397	8.469252
1qkt_ligand_399	10.202995
1qkt_ligand_414	7.3391175
1qkt_ligand_41	7.3652463
1qkt_ligand_423	7.2294583
1qkt_ligand_434	6.1972275
1qkt_ligand_439	4.999506
1qkt_ligand_444	6.5152135
1qkt_ligand_447	7.7040095
1qkt_ligand_449	9.203043
1qkt_ligand_457	6.839475
1qkt_ligand_478	8.710388
1qkt_ligand_499	7.402037
1qkt_ligand_50	8.39784
1qkt_ligand_9	6.391478
1r5y_ligand_133	5.893932
1r5y_ligand_147	5.982712
1r5y_ligand_155	8.393181
1r5y_ligand_162	15.423091
1r5y_ligand_168	14.640442
1r5y_ligand_178	17.103682
1r5y_ligand_181	14.372084
1r5y_ligand_182	5.432632
1r5y_ligand_190	13.547693
1r5y_ligand_193	8.617824
1r5y_ligand_195	12.39916
1r5y_ligand_200	12.408815
1r5y_ligand_201	8.14993
1r5y_ligand_202	6.926485
1r5y_ligand_203	5.8971114
1r5y_ligand_207	11.352632
1r5y_ligand_208	7.0295053
1r5y_ligand_209	7.6858053
1r5y_ligand_222	10.771873
1r5y_ligand_226	10.98276
1r5y_ligand_22	9.323786
1r5y_ligand_232	10.085257
1r5y_ligand_234	5.7315297
1r5y_ligand_237	6.9158216
1r5y_ligand_238	8.776236
1r5y_ligand_240	7.9277377
1r5y_ligand_243	8.268858
1r5y_ligand_244	8.398406
1r5y_ligand_247	11.180963
1r5y_ligand_250	8.541995
1r5y_ligand_256	8.722371
1r5y_ligand_260	6.3749585
1r5y_ligand_261	7.8004236
1r5y_ligand_269	5.9882708
1r5y_ligand_271	13.473847
1r5y_ligand_274	8.041236
1r5y_ligand_275	7.4296694
1r5y_ligand_278	19.314625
1r5y_ligand_280	10.520138
1r5y_ligand_291	8.934623
1r5y_ligand_293	8.007343
1r5y_ligand_295	12.568207
1r5y_ligand_299	7.511422
1r5y_ligand_301	8.854868
1r5y_ligand_309	13.359796
1r5y_ligand_30	11.962879
1r5y_ligand_317	13.170581
1r5y_ligand_325	28.763617
1r5y_ligand_332	13.059346
1r5y_ligand_346	16.354637
1r5y_ligand_352	7.380444
1r5y_ligand_360	6.8587418
1r5y_ligand_363	10.163517
1r5y_ligand_366	7.7857356
1r5y_ligand_367	10.31836
1r5y_ligand_369	9.837014
1r5y_ligand_375	8.410816
1r5y_ligand_376	9.158081
1r5y_ligand_377	7.40783
1r5y_ligand_379	9.729603
1r5y_ligand_381	9.917317
1r5y_ligand_382	8.307711
1r5y_ligand_384	6.628269
1r5y_ligand_389	9.950653
1r5y_ligand_390	8.343327
1r5y_ligand_393	8.70837
1r5y_ligand_397	8.750272
1r5y_ligand_398	9.682837
1r5y_ligand_406	8.342242
1r5y_ligand_407	6.5923166
1r5y_ligand_409	7.0054603
1r5y_ligand_414	8.679067
1r5y_ligand_415	9.5030365
1r5y_ligand_420	6.534538
1r5y_ligand_427	7.413588
1r5y_ligand_429	8.266702
