#code_ligand_num	score
4eky_ligand_102	6.3607597
4eky_ligand_109	5.4290357
4eky_ligand_122	6.833595
4eky_ligand_124	5.3274455
4eky_ligand_130	5.0148997
4eky_ligand_148	9.408373
4eky_ligand_155	25.376883
4eky_ligand_15	10.472165
4eky_ligand_161	34.040237
4eky_ligand_170	20.42099
4eky_ligand_174	13.153862
4eky_ligand_180	51.65327
4eky_ligand_189	21.94813
4eky_ligand_195	15.595837
4eky_ligand_200	19.412546
4eky_ligand_205	9.874914
4eky_ligand_206	5.6591125
4eky_ligand_208	8.712796
4eky_ligand_211	8.959567
4eky_ligand_214	8.444117
4eky_ligand_216	15.013941
4eky_ligand_221	6.408589
4eky_ligand_222	7.1714544
4eky_ligand_225	13.925543
4eky_ligand_227	10.126361
4eky_ligand_228	7.7813993
4eky_ligand_231	9.750164
4eky_ligand_235	7.7541146
4eky_ligand_237	9.650939
4eky_ligand_240	7.2409177
4eky_ligand_243	7.4666348
4eky_ligand_245	9.251427
4eky_ligand_246	10.902876
4eky_ligand_249	7.7534156
4eky_ligand_250	20.068766
4eky_ligand_256	15.517919
4eky_ligand_260	12.14583
4eky_ligand_263	8.07782
4eky_ligand_267	16.736124
4eky_ligand_271	21.656012
4eky_ligand_280	16.433945
4eky_ligand_286	15.096735
4eky_ligand_288	35.967567
4eky_ligand_289	9.336071
4eky_ligand_290	12.45614
4eky_ligand_293	13.739855
4eky_ligand_295	25.928406
4eky_ligand_297	11.328326
4eky_ligand_298	7.7596035
4eky_ligand_299	10.653768
4eky_ligand_300	16.131474
4eky_ligand_309	13.457357
4eky_ligand_310	12.404295
4eky_ligand_319	42.18569
4eky_ligand_321	28.140516
4eky_ligand_332	14.364512
4eky_ligand_334	12.8180485
4eky_ligand_340	15.285414
4eky_ligand_343	19.945763
4eky_ligand_349	11.912913
4eky_ligand_351	61.573772
4eky_ligand_359	9.452315
4eky_ligand_361	26.290379
4eky_ligand_366	23.356264
4eky_ligand_370	59.049767
4eky_ligand_371	27.025827
4eky_ligand_375	14.606175
4eky_ligand_377	99.043335
4eky_ligand_384	9.752388
4eky_ligand_389	16.053421
4eky_ligand_390	9.334039
4eky_ligand_395	121.03748
4eky_ligand_396	23.81687
4eky_ligand_397	172.37154
4eky_ligand_39	6.8504243
4eky_ligand_400	177.16823
4eky_ligand_409	10.3586
4eky_ligand_410	6.655193
4eky_ligand_414	5.3096814
