#code_ligand_num	score
1qf1_ligand_272	12.344267
1qf1_ligand_274	18.259243
1qf1_ligand_276	16.556469
1qf1_ligand_277	21.851316
1qf1_ligand_278	11.077724
1qf1_ligand_27	3.554554
1qf1_ligand_281	4.1358085
1qf1_ligand_283	11.746161
1qf1_ligand_288	7.1833415
1qf1_ligand_291	17.832973
1qf1_ligand_294	14.539941
1qf1_ligand_295	7.029403
1qf1_ligand_296	23.271723
1qf1_ligand_304	12.770081
1qf1_ligand_311	13.29452
1qf1_ligand_316	10.115824
1qf1_ligand_318	20.16529
1qf1_ligand_324	25.062868
1qf1_ligand_326	18.953476
1qf1_ligand_330	12.433529
1qf1_ligand_340	19.1294
1qf1_ligand_341	14.738751
1qf1_ligand_343	8.333177
1qf1_ligand_345	10.237996
1qf1_ligand_367	8.48244
1qf1_ligand_375	8.498827
1qf1_ligand_379	9.0271
1qf1_ligand_389	9.026175
1qf1_ligand_399	7.201311
1qf1_ligand_400	4.819254
1qf1_ligand_406	7.8430276
1qf1_ligand_418	8.253222
1qf1_ligand_427	5.7340775
1qf1_ligand_430	5.4075727
1qf1_ligand_444	10.464935
1qf1_ligand_445	5.138261
1qf1_ligand_449	8.973333
1qf1_ligand_482	7.9604907
1qf1_ligand_48	8.671413
1qf1_ligand_49	0.71043855
1qf1_ligand_51	6.0946856
1qf1_ligand_59	4.9818463
1qf1_ligand_73	9.158697
1qf1_ligand_78	8.590518
1qf1_ligand_79	2.651465
1qf1_ligand_80	10.2471485
1qf1_ligand_85	5.981055
1qf1_ligand_90	3.2404406
1qf1_ligand_95	6.4804296
1qf1_ligand_9	-4.0472636
1qkt_ligand_151	5.1711817
1qkt_ligand_165	4.8858485
1qkt_ligand_169	5.2238774
1qkt_ligand_171	12.914629
1qkt_ligand_181	10.53511
1qkt_ligand_184	16.048885
1qkt_ligand_188	9.94757
1qkt_ligand_189	11.098713
1qkt_ligand_191	9.221255
1qkt_ligand_192	9.285272
1qkt_ligand_193	10.814359
1qkt_ligand_195	9.949994
1qkt_ligand_197	14.21096
1qkt_ligand_199	3.509402
1qkt_ligand_208	9.509054
1qkt_ligand_211	8.26901
1qkt_ligand_223	7.552583
1qkt_ligand_224	12.409194
1qkt_ligand_225	10.200161
1qkt_ligand_228	8.431991
1qkt_ligand_229	4.190517
1qkt_ligand_233	6.4933605
1qkt_ligand_234	8.32387
1qkt_ligand_235	5.756748
1qkt_ligand_239	9.361876
1qkt_ligand_240	9.784014
1qkt_ligand_245	10.850719
1qkt_ligand_246	11.447182
1qkt_ligand_260	14.576977
1qkt_ligand_263	11.280285
1qkt_ligand_273	19.53808
1qkt_ligand_275	8.28123
1qkt_ligand_276	16.458252
1qkt_ligand_277	14.620998
1qkt_ligand_278	14.43198
1qkt_ligand_280	12.196853
1qkt_ligand_283	10.53693
1qkt_ligand_284	14.595217
1qkt_ligand_290	11.229236
1qkt_ligand_294	13.344071
1qkt_ligand_297	8.226036
1qkt_ligand_2	3.0861034
1qkt_ligand_310	10.3214035
1qkt_ligand_313	13.956419
1qkt_ligand_315	14.626944
1qkt_ligand_320	19.31013
1qkt_ligand_322	20.331785
1qkt_ligand_327	11.074233
1qkt_ligand_328	15.523802
1qkt_ligand_329	8.914172
1qkt_ligand_333	12.969397
1qkt_ligand_335	13.231808
1qkt_ligand_337	12.544556
1qkt_ligand_339	14.471317
1qkt_ligand_347	16.83942
1qkt_ligand_351	8.259756
1qkt_ligand_352	0.82180685
1qkt_ligand_353	4.042455
1qkt_ligand_355	6.6181655
1qkt_ligand_359	5.6587715
1qkt_ligand_35	4.1980443
1qkt_ligand_363	8.29785
1qkt_ligand_364	8.172507
1qkt_ligand_368	8.362989
1qkt_ligand_370	6.538382
1qkt_ligand_377	7.067863
1qkt_ligand_378	5.830108
1qkt_ligand_379	7.3986616
1qkt_ligand_380	6.9973135
1qkt_ligand_382	7.7548943
1qkt_ligand_383	6.107386
1qkt_ligand_385	10.663839
1qkt_ligand_389	6.632897
1qkt_ligand_390	8.983784
1qkt_ligand_391	6.611644
1qkt_ligand_392	6.2384963
1qkt_ligand_394	8.733627
1qkt_ligand_395	7.032655
1qkt_ligand_396	4.8136787
1qkt_ligand_399	8.218824
1qkt_ligand_400	9.116134
1qkt_ligand_406	5.310678
1qkt_ligand_410	2.0137007
1qkt_ligand_415	5.1813574
1qkt_ligand_416	6.5101423
1qkt_ligand_417	6.4413075
1qkt_ligand_418	7.6916327
1qkt_ligand_419	6.153165
1qkt_ligand_429	4.552949
