#code_ligand_num	score
3gc5_ligand_257	13.676428
3gc5_ligand_260	13.466718
3gc5_ligand_261	21.942837
3gc5_ligand_262	21.78016
3gc5_ligand_263	12.497236
3gc5_ligand_264	23.153976
3gc5_ligand_267	11.703665
3gc5_ligand_268	23.976322
3gc5_ligand_273	27.116034
3gc5_ligand_283	13.9425955
3gc5_ligand_284	28.81239
3gc5_ligand_286	14.994115
3gc5_ligand_293	12.636208
3gc5_ligand_294	19.520891
3gc5_ligand_298	12.262472
3gc5_ligand_300	11.574516
3gc5_ligand_301	16.15451
3gc5_ligand_304	28.969242
3gc5_ligand_305	18.43678
3gc5_ligand_307	14.9369755
3gc5_ligand_309	23.780436
3gc5_ligand_311	28.579275
3gc5_ligand_312	15.495117
3gc5_ligand_314	12.925041
3gc5_ligand_321	12.565515
3gc5_ligand_323	10.112895
3gc5_ligand_329	29.001797
3gc5_ligand_32	6.6750846
3gc5_ligand_334	14.40342
3gc5_ligand_344	8.295329
3gc5_ligand_346	23.652422
3gc5_ligand_348	19.456835
3gc5_ligand_357	8.055626
3gc5_ligand_362	9.310882
3gc5_ligand_377	9.728287
3gc5_ligand_378	8.556687
3gc5_ligand_379	8.29353
3gc5_ligand_381	6.6506853
3gc5_ligand_386	9.557798
3gc5_ligand_388	10.118532
3gc5_ligand_394	8.703571
3gc5_ligand_395	7.636786
3gc5_ligand_400	10.456326
3gc5_ligand_413	9.064775
3gc5_ligand_419	7.6965637
3gc5_ligand_428	8.595753
3gc5_ligand_429	10.062843
3gc5_ligand_487	11.4111
3gc5_ligand_494	8.667973
3gc5_ligand_84	4.9480124
3ge7_ligand_103	5.165937
3ge7_ligand_107	5.242499
3ge7_ligand_111	7.084185
3ge7_ligand_127	5.0110464
3ge7_ligand_134	4.9533873
3ge7_ligand_135	5.3212996
3ge7_ligand_13	5.879136
3ge7_ligand_143	7.649317
3ge7_ligand_144	5.4574738
3ge7_ligand_147	4.310829
3ge7_ligand_163	41.61053
3ge7_ligand_165	28.967762
3ge7_ligand_168	25.696798
3ge7_ligand_170	31.686491
3ge7_ligand_172	46.36478
3ge7_ligand_178	20.633696
3ge7_ligand_182	15.444729
3ge7_ligand_183	59.28392
3ge7_ligand_185	9.276346
3ge7_ligand_186	30.662851
3ge7_ligand_187	52.8861
3ge7_ligand_189	23.434874
3ge7_ligand_195	21.667967
3ge7_ligand_197	17.741594
3ge7_ligand_200	28.536236
3ge7_ligand_201	7.5824203
3ge7_ligand_202	9.911531
