#code	score
1bcu_11	-5.356353
1bcu_220	-5.550667
1bcu_270	-6.381967
1bcu_309	-5.264109
1bcu_334	-5.413199
1bcu_33	-5.3944883
1bcu_362	-5.154393
1bcu_397	-4.891326
1bcu_406	-4.9428334
1bcu_424	-5.9964523
1bcu_442	-5.389296
1bcu_451	-6.627987
1bcu_454	-6.6609507
1bcu_462	-5.0507727
1bcu_469	-5.727394
1bcu_473	-6.3481836
1bcu_479	-4.75559
1bcu_483	-5.0643086
1bcu_495	-5.103051
1bcu_564	-3.9411583
1bcu_585	-4.219493
1bcu_591	-4.8352957
1bcu_595	-4.6365013
1bcu_608	-5.262438
1bcu_617	-5.3050036
1bcu_634	-5.8173656
1bcu_653	-5.6875367
1bcu_661	-5.4234524
1bcu_684	-4.8796697
1bcu_695	-5.1130095
1bcu_701	-6.0675745
1bcu_703	-5.382174
1bcu_708	-3.7946396
1bcu_712	-5.0705776
1bcu_715	-4.47708
1bcu_717	-4.1418223
1bcu_718	-3.9614873
1bcu_720	-4.8211064
1bcu_725	-4.739058
1bcu_729	-4.413213
1bcu_738	-3.875693
1bcu_741	-3.926153
1bcu_742	-3.678191
1bcu_745	-3.6001697
1bcu_749	-3.9760015
1bcu_752	-4.463493
1bcu_753	-4.118566
1bcu_754	-4.78025
1bcu_756	-4.0191436
1bcu_758	-3.5063667
1bcu_761	-4.4156327
1bcu_764	-3.407927
1bcu_765	-3.6065383
1bcu_772	-3.6373637
1bcu_773	-3.4369411
1bcu_777	-3.4199727
1bcu_778	-3.2605445
1bcu_782	-3.2215772
1bcu_788	-3.2708166
1bcu_790	-3.3058963
1bcu_803	-5.705624
1bcu_806	-5.0716004
1bcu_813	-5.403788
1bcu_825	-5.3908525
1bcu_828	-4.4910164
1bcu_829	-4.593963
1bcu_843	-3.8586872
1bcu_850	-4.066549
1bcu_852	-4.707478
1bcu_855	-3.9536796
1bcu_862	-4.787855
1bcu_869	-4.3811374
1bcu_878	-4.668957
1bcu_881	-4.864068
1bcu_885	-4.1940856
1bcu_886	-4.141939
1bcu_887	-4.0956173
1bcu_888	-4.3060474
1bcu_890	-4.419699
1bcu_893	-3.8136334
1bcu_898	-4.902764
1bcu_903	-5.551577
1bcu_915	-5.850481
1bcu_919	-5.1993484
1bcu_920	-4.399676
1bcu_923	-5.100683
1bcu_931	-3.7311056
1bcu_933	-5.0156307
1bcu_939	-4.3317556
1bcu_949	-4.1902833
1bcu_967	-5.12501
1bcu_971	-3.4771414
1bcu_977	-5.164373
1bcu_980	-4.2914753
1bcu_981	-4.2797246
1bcu_983	-4.3579187
1bcu_984	-3.524165
1bcu_989	-4.320804
1bcu_991	-4.1321225
1bcu_996	-4.5162964
1bcu_ligand	-5.167406
