#code	score
1o0h_105	-4.2074084
1o0h_109	-4.320846
1o0h_121	-4.039906
1o0h_122	-4.1971006
1o0h_133	-4.2665067
1o0h_146	-4.1488748
1o0h_150	-4.6697836
1o0h_153	-3.930064
1o0h_168	-4.901028
1o0h_172	-4.647979
1o0h_178	-3.884255
1o0h_187	-4.365049
1o0h_194	-4.174366
1o0h_203	-5.133906
1o0h_208	-4.779485
1o0h_209	-4.4939694
1o0h_217	-5.586758
1o0h_233	-5.0860667
1o0h_251	-4.7975783
1o0h_253	-4.8570395
1o0h_254	-4.7012815
1o0h_263	-4.4345245
1o0h_272	-5.036082
1o0h_280	-4.598352
1o0h_281	-4.4857216
1o0h_284	-4.780212
1o0h_292	-4.578331
1o0h_313	-4.6477537
1o0h_353	-4.8659
1o0h_374	-5.771109
1o0h_40	-5.865005
1o0h_418	-6.5343924
1o0h_419	-4.949594
1o0h_431	-5.46175
1o0h_436	-5.82147
1o0h_439	-5.3755817
1o0h_450	-5.9978385
1o0h_457	-4.787351
1o0h_459	-5.3860765
1o0h_463	-4.7162704
1o0h_466	-4.968106
1o0h_472	-5.539323
1o0h_474	-6.2808595
1o0h_482	-4.77262
1o0h_488	-4.157167
1o0h_502	-5.253858
1o0h_507	-5.0264506
1o0h_511	-4.5444546
1o0h_514	-5.269504
1o0h_524	-5.5149364
1o0h_526	-4.702674
1o0h_530	-4.675352
1o0h_531	-5.3580103
1o0h_532	-5.1088
1o0h_536	-5.1896186
1o0h_539	-4.624378
1o0h_541	-4.79725
1o0h_549	-4.3696175
1o0h_551	-5.177669
1o0h_563	-4.681639
1o0h_564	-5.329989
1o0h_565	-4.861062
1o0h_576	-6.2071543
1o0h_586	-4.6295805
1o0h_594	-5.03017
1o0h_595	-4.5521994
1o0h_599	-5.7986135
1o0h_600	-4.92712
1o0h_603	-4.5396185
1o0h_606	-4.2726684
1o0h_617	-4.4307437
1o0h_618	-4.346195
1o0h_624	-3.9203067
1o0h_628	-4.378896
1o0h_631	-4.5230274
1o0h_637	-3.710917
1o0h_639	-3.6279383
1o0h_646	-4.7072053
1o0h_647	-4.34856
1o0h_658	-4.6935835
1o0h_665	-4.864816
1o0h_670	-4.1243787
1o0h_680	-5.3325315
1o0h_684	-4.504264
1o0h_690	-4.0446386
1o0h_691	-4.378715
1o0h_692	-4.287264
1o0h_786	-5.690462
1o0h_789	-5.394692
1o0h_78	-4.965705
1o0h_794	-5.1133947
1o0h_821	-4.705535
1o0h_876	-4.7741556
1o0h_879	-5.3403373
1o0h_89	-6.208831
1o0h_909	-4.9431148
1o0h_915	-4.931334
1o0h_918	-4.9771886
1o0h_956	-5.033585
1o0h_968	-4.669606
1o0h_ligand	-4.755608
