#code	score
1s38_117	-6.3135157
1s38_123	-5.2196946
1s38_152	-6.591719
1s38_305	-6.382441
1s38_382	-5.162131
1s38_404	-6.208151
1s38_405	-6.1420627
1s38_425	-6.2910028
1s38_426	-6.2043223
1s38_430	-6.8139114
1s38_431	-6.445153
1s38_432	-6.490601
1s38_433	-6.7806234
1s38_434	-5.7036257
1s38_436	-6.215133
1s38_447	-5.9331384
1s38_448	-5.8791075
1s38_459	-6.8784285
1s38_460	-6.489785
1s38_462	-6.047724
1s38_464	-6.725291
1s38_474	-6.732952
1s38_475	-5.702241
1s38_480	-6.4524384
1s38_485	-6.0878906
1s38_490	-6.4521537
1s38_495	-5.954235
1s38_496	-6.032624
1s38_499	-6.5385594
1s38_500	-6.0159173
1s38_510	-6.2343297
1s38_514	-6.905195
1s38_526	-6.091782
1s38_527	-5.4384437
1s38_537	-5.358878
1s38_542	-6.065201
1s38_545	-5.188975
1s38_548	-5.835918
1s38_549	-4.8495564
1s38_550	-5.5866494
1s38_551	-5.9551873
1s38_552	-5.3696537
1s38_553	-6.162856
1s38_557	-5.309992
1s38_565	-4.843703
1s38_568	-5.228551
1s38_572	-5.0440207
1s38_576	-5.0736384
1s38_583	-4.884419
1s38_584	-5.722296
1s38_588	-4.645533
1s38_590	-5.228569
1s38_591	-6.3335443
1s38_592	-4.7536836
1s38_593	-4.97718
1s38_594	-5.3612804
1s38_596	-6.23104
1s38_598	-5.840793
1s38_600	-5.1806407
1s38_614	-5.7693996
1s38_628	-6.072699
1s38_653	-6.5497494
1s38_658	-5.8936524
1s38_659	-5.953255
1s38_675	-5.711399
1s38_678	-6.091396
1s38_688	-5.725744
1s38_714	-5.0616555
1s38_715	-5.064045
1s38_725	-4.9881854
1s38_730	-4.842947
1s38_741	-4.8970685
1s38_752	-5.065938
1s38_75	-6.3330526
1s38_765	-4.305628
1s38_774	-4.475428
1s38_779	-4.754215
1s38_785	-5.321184
1s38_787	-6.1348605
1s38_790	-4.294395
1s38_792	-6.6797338
1s38_793	-5.927542
1s38_795	-6.055599
1s38_822	-5.035909
1s38_82	-6.440347
1s38_845	-4.9791546
1s38_850	-4.962917
1s38_853	-4.8422775
1s38_871	-5.08935
1s38_886	-5.1004004
1s38_888	-5.007727
1s38_893	-5.053803
1s38_940	-5.076434
1s38_942	-5.0741816
1s38_961	-4.9833174
1s38_964	-4.85639
1s38_969	-4.863822
1s38_976	-4.9367514
1s38_981	-4.8899984
1s38_985	-4.8693604
1s38_ligand	-6.312148
