#code	score
1z6e_117	-7.7990127
1z6e_11	-7.657252
1z6e_125	-6.9758
1z6e_130	-6.2052436
1z6e_136	-8.208557
1z6e_145	-10.734256
1z6e_152	-7.7697783
1z6e_159	-7.8632436
1z6e_160	-11.327691
1z6e_162	-10.742398
1z6e_184	-7.4431868
1z6e_192	-7.1430717
1z6e_19	-7.4481683
1z6e_200	-9.162077
1z6e_21	-9.950071
1z6e_310	-6.85084
1z6e_31	-10.889235
1z6e_350	-10.873562
1z6e_352	-10.493592
1z6e_354	-8.089308
1z6e_371	-10.964758
1z6e_372	-7.402585
1z6e_384	-10.943598
1z6e_390	-6.555867
1z6e_401	-9.887924
1z6e_403	-9.98551
1z6e_411	-10.502346
1z6e_413	-8.099428
1z6e_423	-9.304244
1z6e_424	-9.481974
1z6e_425	-8.785084
1z6e_427	-9.405192
1z6e_429	-10.294061
1z6e_432	-10.09831
1z6e_441	-9.402578
1z6e_445	-8.177505
1z6e_449	-9.845745
1z6e_455	-8.413747
1z6e_468	-8.099669
1z6e_46	-7.8907733
1z6e_470	-9.725316
1z6e_472	-8.39549
1z6e_475	-9.470694
1z6e_480	-7.665959
1z6e_481	-8.352146
1z6e_482	-8.988476
1z6e_486	-9.734379
1z6e_488	-9.160334
1z6e_497	-8.677815
1z6e_522	-9.728994
1z6e_524	-8.158061
1z6e_525	-6.8737273
1z6e_527	-6.8814206
1z6e_536	-6.8800983
1z6e_538	-7.4577494
1z6e_557	-7.867643
1z6e_558	-7.1393127
1z6e_55	-10.725837
1z6e_564	-8.03815
1z6e_570	-8.310127
1z6e_572	-7.7138257
1z6e_57	-8.229803
1z6e_614	-8.809971
1z6e_636	-8.253884
1z6e_643	-8.664317
1z6e_64	-10.769951
1z6e_65	-8.463208
1z6e_663	-7.662855
1z6e_665	-8.116312
1z6e_668	-7.495623
1z6e_680	-7.337771
1z6e_688	-8.374864
1z6e_691	-9.101295
1z6e_694	-9.109538
1z6e_702	-11.671099
1z6e_712	-12.099125
1z6e_722	-10.273234
1z6e_735	-8.971916
1z6e_748	-8.292577
1z6e_749	-7.7257767
1z6e_74	-8.685969
1z6e_754	-9.951922
1z6e_755	-10.037344
1z6e_756	-8.708348
1z6e_757	-8.828997
1z6e_75	-8.194182
1z6e_768	-7.548786
1z6e_772	-8.2850485
1z6e_773	-9.484969
1z6e_774	-7.686009
1z6e_776	-9.273912
1z6e_779	-7.83235
1z6e_799	-11.525558
1z6e_83	-11.023221
1z6e_843	-7.8790293
1z6e_879	-9.704101
1z6e_88	-10.092164
1z6e_974	-10.230313
1z6e_978	-10.313633
1z6e_97	-8.623281
1z6e_ligand	-11.09341
