#code	score
2brb_128	-7.4860168
2brb_13	-8.593012
2brb_146	-6.9025607
2brb_183	-7.562941
2brb_214	-8.898922
2brb_223	-8.764808
2brb_246	-8.848192
2brb_285	-8.459689
2brb_302	-8.682903
2brb_318	-8.803531
2brb_361	-8.406669
2brb_383	-8.602334
2brb_405	-8.415183
2brb_406	-8.142523
2brb_408	-7.8579545
2brb_425	-7.739201
2brb_442	-7.948548
2brb_449	-6.7486424
2brb_452	-7.05248
2brb_460	-7.0055842
2brb_466	-7.9549994
2brb_469	-7.8661885
2brb_474	-8.376364
2brb_477	-8.325742
2brb_490	-8.193128
2brb_494	-7.639619
2brb_501	-8.887764
2brb_502	-8.947747
2brb_514	-8.4867115
2brb_521	-7.6114817
2brb_522	-7.671793
2brb_533	-8.616011
2brb_539	-7.407702
2brb_550	-6.584218
2brb_558	-7.418785
2brb_568	-7.328058
2brb_582	-7.8887763
2brb_586	-8.244799
2brb_593	-7.113906
2brb_594	-7.0169954
2brb_596	-8.0909
2brb_597	-7.001092
2brb_601	-8.35568
2brb_608	-7.4881616
2brb_624	-8.934957
2brb_643	-8.119977
2brb_655	-6.7490463
2brb_666	-9.406276
2brb_671	-9.562852
2brb_672	-8.102404
2brb_674	-8.7511015
2brb_675	-7.781168
2brb_682	-8.865298
2brb_693	-8.56054
2brb_696	-6.3747077
2brb_697	-8.704047
2brb_705	-8.010002
2brb_713	-9.119814
2brb_743	-8.69919
2brb_745	-8.268809
2brb_751	-8.319687
2brb_752	-8.386332
2brb_754	-7.818236
2brb_759	-6.3147593
2brb_85	-8.260003
2brb_88	-9.2043
2brb_941	-8.028703
2brb_94	-8.511236
2brb_ligand	-8.535196
