#code	score
2j78_101	-6.5940924
2j78_115	-6.687449
2j78_140	-6.715686
2j78_176	-6.45465
2j78_22	-8.361944
2j78_311	-7.973883
2j78_317	-6.2867265
2j78_31	-8.126098
2j78_320	-6.8784237
2j78_326	-7.7161717
2j78_332	-7.3623238
2j78_349	-7.0349455
2j78_369	-7.2582774
2j78_382	-6.1866927
2j78_383	-6.320094
2j78_397	-6.2843223
2j78_406	-8.50249
2j78_458	-7.2012987
2j78_459	-7.728472
2j78_460	-7.861296
2j78_471	-7.6703253
2j78_486	-7.2748404
2j78_507	-7.9382787
2j78_52	-8.405278
2j78_546	-6.3000216
2j78_575	-6.0160875
2j78_597	-7.190445
2j78_621	-6.7673965
2j78_626	-6.7804
2j78_650	-7.3715444
2j78_657	-6.2735853
2j78_684	-6.8563848
2j78_716	-7.5261135
2j78_719	-7.40012
2j78_744	-7.489559
2j78_751	-7.479087
2j78_754	-7.945322
2j78_755	-7.785634
2j78_777	-7.7877197
2j78_779	-7.331413
2j78_787	-7.3919272
2j78_795	-6.9165516
2j78_796	-7.674739
2j78_808	-7.6709075
2j78_812	-8.345047
2j78_827	-6.647579
2j78_835	-7.752293
2j78_857	-8.333538
2j78_862	-7.4838357
2j78_881	-7.4698906
2j78_882	-7.1718025
2j78_938	-7.707965
2j78_941	-7.7584815
2j78_97	-8.312153
2j78_ligand	-7.977623
