#code	score
2qnq_130	-8.823692
2qnq_167	-10.241109
2qnq_207	-10.650575
2qnq_209	-10.401848
2qnq_210	-9.226198
2qnq_215	-9.443205
2qnq_216	-9.881616
2qnq_230	-10.107784
2qnq_231	-8.239826
2qnq_239	-9.059423
2qnq_243	-9.36509
2qnq_245	-10.138338
2qnq_249	-9.181932
2qnq_250	-9.6363735
2qnq_267	-10.411091
2qnq_269	-10.309258
2qnq_272	-9.335867
2qnq_274	-10.460385
2qnq_277	-8.972242
2qnq_280	-9.486438
2qnq_287	-9.971218
2qnq_290	-10.128954
2qnq_293	-9.847952
2qnq_308	-9.999093
2qnq_314	-10.1696005
2qnq_326	-9.069392
2qnq_349	-9.940877
2qnq_34	-9.089822
2qnq_367	-9.318334
2qnq_368	-9.725183
2qnq_394	-9.047461
2qnq_397	-9.148696
2qnq_413	-7.4708405
2qnq_414	-8.276448
2qnq_429	-7.752607
2qnq_431	-7.2026935
2qnq_433	-7.858504
2qnq_43	-10.418435
2qnq_445	-7.3403153
2qnq_459	-9.739181
2qnq_462	-8.5169
2qnq_463	-9.20617
2qnq_464	-7.865493
2qnq_475	-9.084736
2qnq_478	-9.1781845
2qnq_480	-8.665163
2qnq_484	-8.5903
2qnq_487	-8.552037
2qnq_496	-8.7423525
2qnq_512	-8.138513
2qnq_520	-8.568646
2qnq_521	-8.481776
2qnq_538	-8.609228
2qnq_542	-7.5272975
2qnq_545	-8.876513
2qnq_552	-8.738746
2qnq_554	-8.719044
2qnq_560	-6.7695136
2qnq_563	-7.1807156
2qnq_575	-7.127283
2qnq_578	-8.012126
2qnq_590	-10.223381
2qnq_641	-7.499896
2qnq_645	-8.863964
2qnq_648	-8.000576
2qnq_64	-9.604235
2qnq_651	-6.3487864
2qnq_652	-8.481804
2qnq_654	-8.490931
2qnq_656	-7.165336
2qnq_666	-8.214313
2qnq_667	-7.3455324
2qnq_668	-7.3266144
2qnq_670	-9.121445
2qnq_671	-6.3712783
2qnq_676	-8.098445
2qnq_679	-7.0370774
2qnq_702	-10.011758
2qnq_715	-10.106366
2qnq_758	-9.857072
2qnq_788	-8.989915
2qnq_811	-9.845117
2qnq_ligand	-10.400103
