#code	score
2vvn_205	-7.8506417
2vvn_391	-7.208601
2vvn_401	-6.8316073
2vvn_403	-6.8127165
2vvn_405	-6.3636417
2vvn_406	-7.5335193
2vvn_407	-7.2963996
2vvn_409	-7.0106497
2vvn_419	-6.058909
2vvn_425	-6.2575574
2vvn_426	-6.0845246
2vvn_427	-6.4266686
2vvn_445	-6.8207326
2vvn_449	-6.5258236
2vvn_469	-6.1874046
2vvn_470	-6.56698
2vvn_720	-6.7179117
2vvn_721	-7.1247697
2vvn_737	-7.1723013
2vvn_744	-7.2612734
2vvn_750	-7.062925
2vvn_751	-7.3952527
2vvn_757	-7.2565465
2vvn_759	-6.6803455
2vvn_763	-7.064031
2vvn_765	-6.8598056
2vvn_776	-6.262202
2vvn_780	-7.4624505
2vvn_782	-7.0769444
2vvn_785	-6.8885603
2vvn_786	-7.054112
2vvn_787	-7.0767574
2vvn_791	-7.1513314
2vvn_792	-6.175427
2vvn_793	-6.8287396
2vvn_797	-6.9323545
2vvn_798	-6.864913
2vvn_799	-7.035528
2vvn_800	-6.9089475
2vvn_802	-7.5301237
2vvn_829	-7.0142646
2vvn_845	-7.693353
2vvn_846	-7.236744
2vvn_854	-7.4564166
2vvn_880	-6.8954
2vvn_887	-7.24375
2vvn_900	-7.318171
2vvn_952	-7.201094
2vvn_956	-7.338126
2vvn_967	-6.552283
2vvn_968	-7.0919404
2vvn_973	-7.4455495
2vvn_977	-6.8013225
2vvn_985	-6.748041
2vvn_987	-6.985302
2vvn_992	-4.700243
2vvn_ligand	-7.630554
