#code	score
2wvt_217	-7.2060504
2wvt_266	-7.2586718
2wvt_404	-7.6174455
2wvt_415	-6.941077
2wvt_442	-7.022152
2wvt_456	-7.0222106
2wvt_464	-7.139829
2wvt_474	-7.2803903
2wvt_478	-7.095315
2wvt_492	-7.093551
2wvt_510	-6.232354
2wvt_518	-7.1531076
2wvt_526	-5.633357
2wvt_529	-6.738435
2wvt_546	-5.7928743
2wvt_548	-7.1524363
2wvt_552	-6.197787
2wvt_565	-6.685959
2wvt_574	-5.9466558
2wvt_579	-6.5295315
2wvt_581	-6.103105
2wvt_593	-6.225059
2wvt_615	-7.6957726
2wvt_630	-6.975994
2wvt_675	-7.290791
2wvt_678	-6.955535
2wvt_720	-7.250869
2wvt_731	-5.9070816
2wvt_736	-7.161344
2wvt_743	-5.6820426
2wvt_758	-5.9744725
2wvt_762	-7.2689977
2wvt_764	-6.70239
2wvt_767	-6.805132
2wvt_770	-5.8120456
2wvt_775	-6.9357295
2wvt_777	-6.5699515
2wvt_780	-5.903038
2wvt_843	-6.8084693
2wvt_848	-6.021458
2wvt_859	-7.1616096
2wvt_870	-5.9029984
2wvt_875	-5.4562364
2wvt_884	-5.7819576
2wvt_898	-5.2197356
2wvt_920	-6.881306
2wvt_922	-6.985001
2wvt_961	-6.5717134
2wvt_962	-5.4097776
2wvt_982	-5.054175
2wvt_ligand	-7.0861845
