#code	score
2x00_123	-8.894713
2x00_144	-9.085238
2x00_174	-9.406016
2x00_234	-9.377585
2x00_335	-9.15017
2x00_345	-9.135112
2x00_410	-9.516394
2x00_447	-8.334463
2x00_464	-8.609063
2x00_470	-8.458917
2x00_487	-8.563735
2x00_498	-9.670431
2x00_499	-9.255144
2x00_500	-8.464663
2x00_509	-8.869824
2x00_528	-8.849483
2x00_539	-8.139579
2x00_53	-9.757104
2x00_551	-8.781659
2x00_565	-7.4103136
2x00_573	-8.231598
2x00_576	-9.9620075
2x00_583	-8.764657
2x00_586	-9.238082
2x00_587	-9.412185
2x00_594	-8.541073
2x00_604	-9.447909
2x00_609	-8.7447605
2x00_611	-9.478549
2x00_633	-9.003796
2x00_634	-8.760549
2x00_654	-8.871151
2x00_701	-8.953804
2x00_705	-8.800199
2x00_709	-9.282479
2x00_716	-8.881806
2x00_721	-7.7990494
2x00_725	-7.9231052
2x00_731	-9.675875
2x00_732	-7.9029007
2x00_736	-8.743121
2x00_742	-8.911604
2x00_748	-9.037674
2x00_749	-9.301145
2x00_760	-8.061407
2x00_761	-9.009161
2x00_767	-9.2724695
2x00_771	-8.398044
2x00_778	-9.422932
2x00_779	-8.496971
2x00_786	-8.92706
2x00_789	-9.251618
2x00_791	-9.500746
2x00_798	-9.220495
2x00_817	-8.803067
2x00_818	-9.370199
2x00_822	-9.149245
2x00_835	-8.153042
2x00_843	-9.052212
2x00_853	-8.425842
2x00_874	-8.904134
2x00_882	-7.9610314
2x00_889	-8.062413
2x00_891	-8.69313
2x00_907	-9.41642
2x00_911	-8.935442
2x00_929	-9.093342
2x00_935	-8.86291
2x00_945	-9.551651
2x00_963	-9.625366
2x00_966	-8.230131
2x00_969	-9.566335
2x00_971	-9.834459
2x00_972	-8.118645
2x00_986	-8.183113
2x00_992	-8.46619
2x00_ligand	-9.362654
