#code	score
3f3c_223	-8.247472
3f3c_256	-8.286075
3f3c_258	-8.424409
3f3c_29	-7.810256
3f3c_326	-8.17587
3f3c_38	-8.043723
3f3c_401	-8.498241
3f3c_407	-8.188757
3f3c_411	-7.60331
3f3c_413	-8.833354
3f3c_419	-8.064123
3f3c_430	-8.296068
3f3c_442	-8.078591
3f3c_453	-7.64041
3f3c_456	-7.257652
3f3c_458	-7.187152
3f3c_459	-7.8767443
3f3c_463	-7.805349
3f3c_466	-8.170455
3f3c_469	-8.031464
3f3c_471	-7.6041346
3f3c_472	-8.017561
3f3c_474	-8.495513
3f3c_475	-8.233689
3f3c_480	-7.3925967
3f3c_485	-8.0113
3f3c_491	-7.9557533
3f3c_496	-8.673737
3f3c_499	-7.789717
3f3c_507	-8.06577
3f3c_508	-8.29651
3f3c_510	-7.4637294
3f3c_523	-8.008353
3f3c_542	-8.453406
3f3c_544	-8.292954
3f3c_545	-8.021565
3f3c_555	-7.557935
3f3c_572	-7.5729446
3f3c_585	-7.6912656
3f3c_586	-7.673511
3f3c_587	-7.387313
3f3c_599	-7.421527
3f3c_628	-8.475546
3f3c_635	-7.9376345
3f3c_665	-7.193902
3f3c_686	-7.768899
3f3c_696	-8.492165
3f3c_735	-7.327274
3f3c_775	-7.8650446
3f3c_779	-7.9218793
3f3c_788	-7.325996
3f3c_789	-7.305374
3f3c_790	-7.1957755
3f3c_791	-7.3232336
3f3c_792	-7.2913947
3f3c_799	-7.6720395
3f3c_ligand	-8.241452
