#code	score
3g2z_1001	-5.1519456
3g2z_1002	-5.2191515
3g2z_1003	-5.3362517
3g2z_1004	-5.210858
3g2z_1005	-5.1526484
3g2z_1006	-5.3660493
3g2z_1007	-5.233462
3g2z_1008	-5.3531265
3g2z_1009	-5.2726955
3g2z_1010	-5.2871714
3g2z_1011	-5.2626057
3g2z_1012	-5.185498
3g2z_132	-5.2249403
3g2z_152	-4.5325637
3g2z_166	-5.3887467
3g2z_189	-5.009165
3g2z_194	-4.8805556
3g2z_332	-4.767687
3g2z_42	-5.117146
3g2z_443	-5.3699965
3g2z_490	-5.6060824
3g2z_506	-5.5973635
3g2z_517	-5.240486
3g2z_525	-5.275936
3g2z_526	-5.2910566
3g2z_528	-5.175614
3g2z_534	-5.4328847
3g2z_535	-5.360296
3g2z_559	-4.812601
3g2z_568	-5.422123
3g2z_569	-5.482799
3g2z_578	-5.3215036
3g2z_587	-5.210538
3g2z_588	-4.54745
3g2z_603	-5.7275925
3g2z_610	-5.1879034
3g2z_616	-4.8913407
3g2z_626	-5.5725465
3g2z_631	-5.759147
3g2z_632	-4.8186955
3g2z_656	-5.8941813
3g2z_663	-4.9802
3g2z_668	-5.1742725
3g2z_683	-5.1035557
3g2z_687	-5.415872
3g2z_706	-4.278737
3g2z_745	-3.7448611
3g2z_748	-4.4860787
3g2z_755	-4.877114
3g2z_763	-5.0250974
3g2z_776	-4.228993
3g2z_779	-4.8134923
3g2z_790	-5.1041217
3g2z_792	-4.1550293
3g2z_818	-4.414413
3g2z_909	-4.9640675
3g2z_915	-5.122433
3g2z_933	-4.447617
3g2z_940	-5.048985
3g2z_975	-4.6608405
3g2z_ligand	-5.234412
