#code	score
3n76_219	-8.803961
3n76_261	-8.7850895
3n76_279	-8.6753845
3n76_403	-8.983654
3n76_406	-8.954397
3n76_407	-8.395746
3n76_419	-8.172146
3n76_429	-8.889197
3n76_432	-8.648527
3n76_440	-8.858821
3n76_441	-8.299838
3n76_455	-9.02309
3n76_459	-9.416593
3n76_463	-8.432779
3n76_466	-8.564987
3n76_470	-8.771698
3n76_476	-8.980558
3n76_480	-8.899513
3n76_483	-8.788838
3n76_484	-8.965554
3n76_486	-9.097699
3n76_488	-8.755676
3n76_491	-8.851143
3n76_494	-8.843178
3n76_526	-8.2832155
3n76_527	-8.626998
3n76_539	-8.478238
3n76_552	-8.138152
3n76_558	-8.45252
3n76_574	-8.12127
3n76_577	-8.6149645
3n76_578	-8.166232
3n76_580	-8.754239
3n76_585	-9.232845
3n76_586	-9.120428
3n76_587	-7.974255
3n76_594	-7.6524463
3n76_606	-8.182285
3n76_620	-8.022427
3n76_630	-8.146376
3n76_632	-9.320812
3n76_633	-8.67016
3n76_641	-8.876103
3n76_642	-8.354455
3n76_662	-8.230982
3n76_665	-8.302069
3n76_676	-8.479163
3n76_689	-8.969902
3n76_692	-8.369898
3n76_693	-8.052385
3n76_695	-7.8614416
3n76_700	-7.95863
3n76_728	-8.555079
3n76_737	-8.816289
3n76_749	-8.6123085
3n76_758	-8.649023
3n76_760	-8.534192
3n76_782	-8.368892
3n76_878	-8.804995
3n76_884	-8.519188
3n76_885	-8.5384865
3n76_ligand	-8.670801
