#code	score
3oe5_104	-9.056687
3oe5_106	-7.831696
3oe5_11	-7.3503757
3oe5_121	-7.463142
3oe5_124	-7.6980753
3oe5_132	-8.4001
3oe5_134	-7.2070456
3oe5_145	-7.586191
3oe5_148	-7.9749875
3oe5_156	-7.066139
3oe5_15	-8.203383
3oe5_161	-7.51176
3oe5_162	-7.524898
3oe5_164	-7.6137447
3oe5_197	-6.489313
3oe5_198	-7.0452313
3oe5_199	-7.051202
3oe5_203	-9.0784855
3oe5_214	-8.803883
3oe5_217	-9.253128
3oe5_227	-8.012008
3oe5_236	-9.274936
3oe5_243	-8.905596
3oe5_245	-10.277687
3oe5_248	-9.618673
3oe5_250	-8.862056
3oe5_261	-8.974504
3oe5_263	-9.935666
3oe5_266	-8.9196005
3oe5_26	-7.185402
3oe5_274	-8.456218
3oe5_286	-8.964513
3oe5_289	-8.249247
3oe5_290	-8.904081
3oe5_29	-5.8268323
3oe5_2	-5.5698953
3oe5_301	-8.186461
3oe5_30	-8.635468
3oe5_325	-5.905114
3oe5_329	-9.224545
3oe5_332	-7.69256
3oe5_342	-6.294317
3oe5_352	-8.7451515
3oe5_356	-8.821252
3oe5_370	-6.764189
3oe5_380	-7.032378
3oe5_401	-8.918979
3oe5_402	-7.871098
3oe5_403	-9.084128
3oe5_412	-7.3992715
3oe5_421	-7.5554852
3oe5_422	-8.906129
3oe5_423	-8.968862
3oe5_430	-8.836576
3oe5_437	-7.2426343
3oe5_439	-8.194692
3oe5_441	-7.735208
3oe5_442	-9.472368
3oe5_446	-7.6760125
3oe5_455	-7.956481
3oe5_45	-6.719646
3oe5_462	-7.728448
3oe5_467	-6.3199635
3oe5_472	-7.302522
3oe5_477	-8.709162
3oe5_480	-8.557077
3oe5_483	-7.225855
3oe5_484	-6.7391324
3oe5_493	-8.239693
3oe5_497	-7.563349
3oe5_499	-8.834616
3oe5_529	-8.007568
3oe5_546	-7.693601
3oe5_552	-7.7550707
3oe5_561	-7.345111
3oe5_563	-8.19842
3oe5_57	-6.955711
3oe5_581	-7.2559476
3oe5_586	-7.1445775
3oe5_599	-8.681398
3oe5_620	-8.373384
3oe5_623	-8.191687
3oe5_624	-8.956343
3oe5_669	-7.81593
3oe5_673	-8.473066
3oe5_676	-7.0809007
3oe5_680	-7.0239196
3oe5_684	-6.7154894
3oe5_697	-7.9083247
3oe5_700	-7.317491
3oe5_758	-7.250348
3oe5_762	-6.7367964
3oe5_76	-7.0542216
3oe5_77	-7.420188
3oe5_788	-7.0922
3oe5_857	-7.642424
3oe5_893	-7.6825247
3oe5_94	-7.2751746
3oe5_955	-9.301456
3oe5_97	-7.356921
3oe5_ligand	-9.338706
