#code	score
3rsx_121	-4.4290147
3rsx_131	-4.5947647
3rsx_132	-5.285742
3rsx_172	-4.3573337
3rsx_173	-4.485907
3rsx_218	-5.644178
3rsx_230	-3.9730666
3rsx_243	-4.5212483
3rsx_249	-4.7130766
3rsx_266	-4.7864456
3rsx_375	-4.4513535
3rsx_388	-4.3532667
3rsx_408	-5.4926033
3rsx_423	-4.3601727
3rsx_434	-3.9965615
3rsx_450	-4.6379523
3rsx_464	-4.5874076
3rsx_470	-4.841824
3rsx_474	-4.52611
3rsx_487	-4.351618
3rsx_494	-5.169459
3rsx_497	-5.1779637
3rsx_505	-4.370527
3rsx_506	-4.703043
3rsx_515	-4.681871
3rsx_518	-4.423327
3rsx_528	-4.348265
3rsx_534	-4.848513
3rsx_535	-5.1002083
3rsx_537	-4.476446
3rsx_549	-5.4558597
3rsx_553	-4.5329366
3rsx_554	-4.3990083
3rsx_556	-4.2501874
3rsx_569	-4.816103
3rsx_574	-4.818947
3rsx_579	-4.52491
3rsx_586	-4.786129
3rsx_589	-4.630593
3rsx_590	-4.379697
3rsx_591	-5.1485744
3rsx_593	-4.8489614
3rsx_594	-4.377582
3rsx_596	-5.039117
3rsx_604	-4.4861503
3rsx_605	-4.113642
3rsx_607	-4.6957974
3rsx_621	-5.464281
3rsx_629	-4.9289374
3rsx_630	-4.2505574
3rsx_651	-4.016676
3rsx_677	-4.716002
3rsx_684	-4.296944
3rsx_689	-4.5564566
3rsx_697	-5.6619534
3rsx_708	-4.5658436
3rsx_740	-4.384068
3rsx_742	-4.375794
3rsx_744	-4.5749083
3rsx_750	-4.484258
3rsx_754	-5.242028
3rsx_756	-4.184084
3rsx_761	-4.308786
3rsx_762	-4.194118
3rsx_772	-4.394734
3rsx_773	-4.4980054
3rsx_774	-4.9239416
3rsx_778	-5.07682
3rsx_797	-4.618268
3rsx_828	-5.506793
3rsx_868	-5.5274367
3rsx_912	-4.5145926
3rsx_918	-4.563467
3rsx_934	-4.5942597
3rsx_936	-5.0271807
3rsx_ligand	-4.6600494
