#code	score
4f2w_101	-7.373278
4f2w_105	-8.47596
4f2w_121	-6.49835
4f2w_122	-7.420525
4f2w_124	-8.29048
4f2w_136	-6.474432
4f2w_142	-8.496229
4f2w_144	-7.749085
4f2w_147	-6.296533
4f2w_151	-6.304921
4f2w_154	-6.0731587
4f2w_155	-7.1216216
4f2w_163	-6.0824785
4f2w_187	-6.2905517
4f2w_198	-6.5458846
4f2w_264	-8.550748
4f2w_360	-8.510011
4f2w_407	-7.706659
4f2w_420	-7.729627
4f2w_428	-6.639207
4f2w_431	-8.042997
4f2w_435	-7.3660336
4f2w_436	-8.122299
4f2w_437	-7.1928897
4f2w_439	-7.537842
4f2w_442	-7.753607
4f2w_454	-8.605291
4f2w_45	-6.926439
4f2w_465	-7.2384667
4f2w_467	-7.9245152
4f2w_468	-8.07072
4f2w_473	-7.7167387
4f2w_474	-7.6049404
4f2w_476	-8.210137
4f2w_480	-7.21356
4f2w_482	-6.844007
4f2w_484	-8.453362
4f2w_486	-7.3280916
4f2w_519	-7.5522523
4f2w_521	-7.2031674
4f2w_523	-7.309167
4f2w_542	-7.186032
4f2w_543	-7.461134
4f2w_552	-7.579765
4f2w_559	-7.3020353
4f2w_562	-7.370122
4f2w_567	-6.897432
4f2w_571	-6.6584654
4f2w_581	-7.0662684
4f2w_582	-7.129989
4f2w_585	-7.121462
4f2w_586	-7.190147
4f2w_589	-7.9509654
4f2w_597	-7.3374457
4f2w_608	-6.9760165
4f2w_620	-7.418129
4f2w_631	-7.118046
4f2w_638	-7.144618
4f2w_657	-7.3764634
4f2w_658	-7.2374625
4f2w_664	-7.499605
4f2w_665	-7.136949
4f2w_66	-6.501067
4f2w_671	-8.338054
4f2w_687	-7.2819166
4f2w_725	-8.476118
4f2w_749	-7.7713203
4f2w_770	-8.587696
4f2w_796	-8.511812
4f2w_825	-8.428148
4f2w_901	-8.552218
4f2w_907	-8.456301
4f2w_917	-8.566861
4f2w_922	-8.250249
4f2w_979	-8.602604
4f2w_ligand	-8.654111
