#code	score
4jsz_100	-4.6481133
4jsz_113	-3.2900472
4jsz_138	-3.3409884
4jsz_150	-3.6496074
4jsz_156	-3.849328
4jsz_160	-3.1386294
4jsz_1	-3.3228369
4jsz_215	-4.695319
4jsz_218	-4.3625913
4jsz_24	-3.2619376
4jsz_262	-4.2614884
4jsz_269	-5.130854
4jsz_26	-3.2538352
4jsz_306	-3.5319967
4jsz_31	-3.1916122
4jsz_321	-3.2217305
4jsz_323	-3.2050054
4jsz_359	-3.1764753
4jsz_38	-3.2490053
4jsz_390	-3.204009
4jsz_466	-5.066683
4jsz_476	-4.045739
4jsz_47	-3.2010353
4jsz_48	-3.227708
4jsz_491	-4.9717436
4jsz_494	-3.927897
4jsz_498	-4.3814793
4jsz_506	-3.4752305
4jsz_509	-3.574421
4jsz_511	-5.076811
4jsz_512	-5.167028
4jsz_545	-3.9317458
4jsz_549	-3.4855633
4jsz_554	-3.2519042
4jsz_559	-4.352625
4jsz_560	-4.5113583
4jsz_561	-4.1340523
4jsz_571	-4.925255
4jsz_574	-3.6684415
4jsz_581	-3.3357615
4jsz_585	-4.545746
4jsz_593	-5.1411834
4jsz_59	-3.2614448
4jsz_600	-3.4092166
4jsz_60	-3.6047645
4jsz_625	-4.892974
4jsz_63	-3.2558649
4jsz_645	-3.5932198
4jsz_65	-3.3281343
4jsz_662	-3.8659787
4jsz_672	-4.506007
4jsz_677	-3.6647792
4jsz_698	-4.5308933
4jsz_710	-4.016566
4jsz_71	-3.87813
4jsz_742	-4.160324
4jsz_74	-4.351312
4jsz_756	-3.3194218
4jsz_762	-3.373275
4jsz_771	-3.5391345
4jsz_772	-3.3228383
4jsz_774	-3.6150553
4jsz_775	-3.4685292
4jsz_815	-4.9492173
4jsz_83	-3.2755377
4jsz_85	-3.2762809
4jsz_93	-3.257588
4jsz_ligand	-4.4886723
