#code	score
4kzu_112	-8.713936
4kzu_206	-8.521787
4kzu_256	-8.574768
4kzu_286	-8.624341
4kzu_411	-8.952552
4kzu_422	-8.675455
4kzu_424	-8.398247
4kzu_426	-9.1352215
4kzu_429	-8.614813
4kzu_432	-8.913371
4kzu_439	-7.743094
4kzu_455	-8.294524
4kzu_468	-8.402975
4kzu_472	-9.013797
4kzu_474	-7.877664
4kzu_481	-8.411525
4kzu_483	-7.8910475
4kzu_491	-8.904211
4kzu_492	-8.563648
4kzu_497	-8.424976
4kzu_499	-8.511728
4kzu_504	-8.935716
4kzu_524	-7.929358
4kzu_537	-6.2503858
4kzu_548	-7.6852026
4kzu_549	-7.1877346
4kzu_552	-7.418904
4kzu_553	-6.1870685
4kzu_559	-6.6438317
4kzu_565	-8.071237
4kzu_569	-8.748526
4kzu_570	-8.470335
4kzu_571	-8.0537195
4kzu_574	-6.3543897
4kzu_575	-8.32523
4kzu_577	-7.155818
4kzu_578	-7.96359
4kzu_582	-7.086492
4kzu_592	-6.8231716
4kzu_593	-8.493266
4kzu_594	-8.83854
4kzu_599	-8.083518
4kzu_5	-8.213464
4kzu_601	-9.24761
4kzu_610	-8.560971
4kzu_618	-7.7401085
4kzu_619	-7.956922
4kzu_641	-7.572024
4kzu_660	-8.311699
4kzu_661	-8.661747
4kzu_662	-6.7309213
4kzu_663	-7.7294483
4kzu_668	-7.228334
4kzu_669	-8.614294
4kzu_675	-8.454029
4kzu_678	-7.2515574
4kzu_680	-7.784307
4kzu_682	-7.5357976
4kzu_690	-8.626299
4kzu_696	-7.5124674
4kzu_700	-7.6775627
4kzu_708	-7.008228
4kzu_709	-7.1667314
4kzu_710	-6.0290766
4kzu_712	-5.730471
4kzu_735	-5.02297
4kzu_738	-5.5557566
4kzu_740	-5.4607573
4kzu_741	-4.87919
4kzu_747	-5.7903953
4kzu_752	-4.8958926
4kzu_753	-6.09995
4kzu_755	-6.4151034
4kzu_757	-5.213517
4kzu_761	-5.078394
4kzu_762	-6.269809
4kzu_775	-4.85484
4kzu_776	-6.437401
4kzu_777	-5.557694
4kzu_786	-4.9829106
4kzu_789	-4.9723945
4kzu_800	-6.1382027
4kzu_847	-5.350853
4kzu_856	-7.806484
4kzu_857	-5.342033
4kzu_861	-4.706337
4kzu_863	-5.0096455
4kzu_865	-5.0901365
4kzu_867	-5.8593235
4kzu_872	-6.3866634
4kzu_877	-6.3828936
4kzu_878	-5.189731
4kzu_883	-4.660393
4kzu_889	-5.5311728
4kzu_907	-7.850515
4kzu_909	-7.920967
4kzu_924	-6.0168
4kzu_932	-4.609949
4kzu_956	-6.039047
4kzu_961	-5.5609636
4kzu_ligand	-8.843533
