#code	score
4m0y_214	-8.248898
4m0y_224	-7.1761475
4m0y_232	-8.681915
4m0y_252	-7.278017
4m0y_336	-7.1548195
4m0y_407	-7.706709
4m0y_410	-7.9287834
4m0y_416	-7.386622
4m0y_426	-7.295171
4m0y_448	-7.1003523
4m0y_461	-6.8051996
4m0y_467	-7.7521663
4m0y_476	-6.77079
4m0y_485	-6.5484214
4m0y_488	-6.5428586
4m0y_493	-8.201556
4m0y_509	-5.567705
4m0y_512	-7.1010137
4m0y_513	-7.551766
4m0y_514	-5.678851
4m0y_524	-5.740859
4m0y_525	-6.726519
4m0y_532	-7.354369
4m0y_534	-6.040773
4m0y_537	-7.0704174
4m0y_544	-7.2096176
4m0y_545	-5.853477
4m0y_546	-5.638921
4m0y_547	-5.2954154
4m0y_549	-5.729936
4m0y_558	-6.2561436
4m0y_561	-7.3974247
4m0y_567	-6.9189944
4m0y_570	-6.0313725
4m0y_574	-7.6864343
4m0y_586	-5.401756
4m0y_589	-6.5623665
4m0y_591	-7.7832932
4m0y_592	-7.734
4m0y_598	-7.9638133
4m0y_601	-7.253146
4m0y_610	-7.401616
4m0y_619	-7.1925106
4m0y_631	-7.9955025
4m0y_646	-7.105309
4m0y_655	-7.388744
4m0y_659	-7.2083993
4m0y_662	-7.7024493
4m0y_669	-7.412876
4m0y_682	-8.149401
4m0y_684	-7.7823553
4m0y_686	-7.633281
4m0y_697	-7.5766134
4m0y_739	-7.8143272
4m0y_740	-7.8698654
4m0y_743	-6.261826
4m0y_748	-6.4053645
4m0y_750	-6.817348
4m0y_752	-5.8556633
4m0y_753	-7.257301
4m0y_756	-7.541476
4m0y_757	-8.200589
4m0y_758	-8.259835
4m0y_759	-8.2552
4m0y_767	-8.2481165
4m0y_814	-7.7524495
4m0y_822	-8.219406
4m0y_827	-8.267812
4m0y_839	-8.551627
4m0y_846	-8.065894
4m0y_856	-8.245616
4m0y_863	-8.287084
4m0y_873	-8.257512
4m0y_883	-8.524203
4m0y_907	-8.067305
4m0y_920	-8.1881075
4m0y_922	-7.8835406
4m0y_923	-7.9153743
4m0y_951	-7.581707
4m0y_952	-8.08015
4m0y_ligand	-8.208031
