#code	score
4pcs_141	-6.846767
4pcs_152	-6.9696236
4pcs_164	-6.8248787
4pcs_165	-7.043215
4pcs_173	-7.0190144
4pcs_190	-7.349005
4pcs_196	-6.9074926
4pcs_202	-7.4408674
4pcs_241	-7.8858566
4pcs_257	-7.4691615
4pcs_274	-7.8756976
4pcs_309	-6.8901157
4pcs_401	-7.672927
4pcs_409	-7.5691223
4pcs_413	-7.0829687
4pcs_416	-7.052687
4pcs_437	-6.068764
4pcs_443	-6.089995
4pcs_444	-5.741432
4pcs_448	-6.992018
4pcs_452	-7.0259767
4pcs_476	-6.230197
4pcs_477	-6.1158104
4pcs_486	-6.6114535
4pcs_491	-7.042969
4pcs_494	-5.6168156
4pcs_512	-6.0785055
4pcs_518	-6.085577
4pcs_521	-5.2867594
4pcs_527	-5.2577457
4pcs_533	-5.964682
4pcs_537	-5.2485995
4pcs_538	-5.344392
4pcs_545	-4.95839
4pcs_548	-5.930384
4pcs_549	-5.688544
4pcs_552	-4.8099318
4pcs_554	-6.5515256
4pcs_564	-5.0030637
4pcs_572	-5.114969
4pcs_580	-5.8828435
4pcs_581	-5.6422343
4pcs_588	-5.471937
4pcs_592	-5.2040677
4pcs_598	-4.549423
4pcs_600	-5.5596066
4pcs_63	-7.3659263
4pcs_654	-6.302562
4pcs_663	-5.4744177
4pcs_684	-7.206327
4pcs_697	-6.429716
4pcs_719	-7.0464444
4pcs_734	-6.594158
4pcs_749	-7.21819
4pcs_765	-5.8907704
4pcs_773	-6.0287995
4pcs_776	-7.49391
4pcs_777	-6.030822
4pcs_780	-6.194796
4pcs_785	-6.264291
4pcs_788	-7.1681705
4pcs_789	-6.7219777
4pcs_78	-7.417628
4pcs_790	-5.868539
4pcs_795	-5.616886
4pcs_800	-4.5602994
4pcs_812	-6.923587
4pcs_826	-6.7897625
4pcs_828	-6.9908786
4pcs_883	-6.018309
4pcs_ligand	-7.0407906
