#code	score
4rfm_113	-9.978734
4rfm_140	-9.787569
4rfm_185	-9.886231
4rfm_191	-10.6236925
4rfm_21	-10.079473
4rfm_223	-9.324186
4rfm_233	-10.341991
4rfm_259	-10.494905
4rfm_262	-9.088752
4rfm_26	-9.542391
4rfm_313	-6.965266
4rfm_319	-5.312019
4rfm_31	-9.682584
4rfm_321	-8.100359
4rfm_327	-10.429052
4rfm_344	-5.8186364
4rfm_350	-5.9752436
4rfm_353	-9.829852
4rfm_354	-10.183308
4rfm_37	-9.671072
4rfm_39	-6.4987006
4rfm_3	-9.590873
4rfm_402	-9.47649
4rfm_404	-8.456297
4rfm_412	-8.301642
4rfm_413	-8.110416
4rfm_430	-10.155266
4rfm_43	-8.228271
4rfm_440	-7.8009286
4rfm_453	-10.810864
4rfm_458	-9.708314
4rfm_473	-8.931947
4rfm_480	-8.110665
4rfm_487	-8.263916
4rfm_488	-7.409174
4rfm_497	-8.261135
4rfm_498	-8.823997
4rfm_506	-7.9179316
4rfm_508	-9.665776
4rfm_514	-6.1717634
4rfm_524	-10.045395
4rfm_529	-7.4590845
4rfm_533	-9.774568
4rfm_534	-6.3379827
4rfm_536	-9.531609
4rfm_542	-8.799044
4rfm_545	-6.7930098
4rfm_553	-6.762198
4rfm_557	-7.7928805
4rfm_559	-6.33176
4rfm_560	-7.2423744
4rfm_562	-7.136532
4rfm_567	-6.859364
4rfm_569	-6.551491
4rfm_577	-8.946639
4rfm_580	-8.634064
4rfm_588	-7.372636
4rfm_589	-5.8075433
4rfm_592	-9.552357
4rfm_593	-7.0865226
4rfm_598	-5.4540415
4rfm_612	-10.2121725
4rfm_627	-9.882747
4rfm_629	-8.484235
4rfm_635	-10.489149
4rfm_637	-7.2827477
4rfm_639	-6.9129224
4rfm_640	-6.5028048
4rfm_641	-7.8967247
4rfm_642	-10.545909
4rfm_646	-9.016048
4rfm_650	-9.456368
4rfm_652	-9.092254
4rfm_665	-8.412815
4rfm_667	-8.717824
4rfm_669	-7.217745
4rfm_66	-9.681638
4rfm_670	-8.284836
4rfm_675	-8.579816
4rfm_682	-6.71582
4rfm_689	-6.7497206
4rfm_694	-7.62926
4rfm_729	-11.0955925
4rfm_732	-9.999998
4rfm_744	-10.774838
4rfm_747	-11.25086
4rfm_748	-9.930637
4rfm_798	-10.20316
4rfm_85	-10.254488
4rfm_863	-11.021076
4rfm_869	-11.006069
4rfm_936	-10.7561
4rfm_940	-10.416594
4rfm_941	-9.860137
4rfm_9	-10.543631
4rfm_ligand	-10.603455
