#code	score
4ty7_101	-8.67342
4ty7_106	-9.463648
4ty7_224	-10.299218
4ty7_254	-9.869175
4ty7_264	-9.979727
4ty7_26	-8.183808
4ty7_35	-8.736143
4ty7_381	-8.312904
4ty7_412	-8.764374
4ty7_415	-8.930614
4ty7_439	-7.7714276
4ty7_442	-7.5682907
4ty7_447	-7.403736
4ty7_451	-7.7285933
4ty7_456	-9.516078
4ty7_459	-8.138542
4ty7_474	-7.5343466
4ty7_480	-8.522191
4ty7_481	-9.791236
4ty7_483	-7.3708
4ty7_492	-8.255148
4ty7_494	-9.245282
4ty7_496	-7.336267
4ty7_506	-9.537152
4ty7_507	-9.396076
4ty7_50	-9.580788
4ty7_513	-8.714904
4ty7_515	-7.543158
4ty7_518	-9.4168005
4ty7_529	-6.938514
4ty7_539	-7.0476594
4ty7_543	-6.9149227
4ty7_549	-6.5677457
4ty7_553	-7.4142776
4ty7_558	-8.8157625
4ty7_561	-8.193817
4ty7_562	-7.1367087
4ty7_563	-8.49391
4ty7_566	-7.520671
4ty7_56	-8.032478
4ty7_574	-7.8863106
4ty7_576	-8.754233
4ty7_586	-6.832304
4ty7_589	-7.679952
4ty7_594	-7.0400724
4ty7_595	-7.7678146
4ty7_598	-7.0579886
4ty7_599	-7.651148
4ty7_5	-6.483215
4ty7_606	-8.862712
4ty7_608	-8.452293
4ty7_613	-8.852676
4ty7_624	-9.039708
4ty7_627	-9.0525465
4ty7_62	-9.28223
4ty7_631	-8.328781
4ty7_636	-8.638963
4ty7_637	-8.141664
4ty7_646	-8.618252
4ty7_649	-8.291973
4ty7_654	-7.8628516
4ty7_655	-8.2165
4ty7_656	-7.6867437
4ty7_657	-6.718828
4ty7_658	-9.25783
4ty7_662	-6.6840105
4ty7_663	-8.848347
4ty7_668	-9.528471
4ty7_669	-6.9391766
4ty7_671	-8.599736
4ty7_673	-7.3391995
4ty7_674	-7.917334
4ty7_676	-7.836131
4ty7_678	-6.8597713
4ty7_682	-7.6347427
4ty7_687	-7.681903
4ty7_694	-7.643738
4ty7_697	-8.4309025
4ty7_702	-9.7936945
4ty7_734	-9.292465
4ty7_744	-8.682699
4ty7_74	-8.0493965
4ty7_763	-6.9926777
4ty7_764	-7.746086
4ty7_766	-9.806155
4ty7_775	-9.673692
4ty7_808	-9.204474
4ty7_817	-9.442711
4ty7_834	-8.491778
4ty7_857	-9.247955
4ty7_861	-7.2463775
4ty7_862	-8.655172
4ty7_86	-8.233096
4ty7_88	-7.534675
4ty7_895	-9.222902
4ty7_916	-9.351374
4ty7_925	-9.201661
4ty7_951	-8.813018
4ty7_963	-9.474628
4ty7_96	-8.39696
4ty7_ligand	-9.543306
