#code	score
4x6p_106	-7.2641807
4x6p_114	-6.8890266
4x6p_121	-7.0066032
4x6p_125	-9.11912
4x6p_142	-10.483385
4x6p_147	-6.4786406
4x6p_170	-7.7196875
4x6p_18	-8.754246
4x6p_195	-7.60269
4x6p_197	-6.838418
4x6p_201	-9.794275
4x6p_203	-10.23693
4x6p_204	-10.8761
4x6p_214	-9.983994
4x6p_215	-10.120658
4x6p_221	-10.225191
4x6p_224	-9.537787
4x6p_231	-10.368243
4x6p_254	-10.579927
4x6p_25	-8.214888
4x6p_265	-9.935065
4x6p_277	-10.265133
4x6p_300	-9.242435
4x6p_304	-8.835029
4x6p_312	-10.568057
4x6p_316	-8.363894
4x6p_324	-10.29742
4x6p_33	-8.634125
4x6p_344	-9.4318495
4x6p_346	-8.465053
4x6p_380	-8.225105
4x6p_381	-10.443985
4x6p_398	-9.649718
4x6p_401	-10.248307
4x6p_407	-9.519333
4x6p_421	-9.24719
4x6p_426	-8.888188
4x6p_427	-8.788309
4x6p_432	-9.513976
4x6p_438	-9.0190735
4x6p_439	-8.2897005
4x6p_441	-7.828621
4x6p_448	-9.10264
4x6p_454	-8.616472
4x6p_463	-10.339201
4x6p_481	-8.354425
4x6p_486	-9.88066
4x6p_504	-7.8454905
4x6p_513	-8.039396
4x6p_518	-8.01453
4x6p_521	-8.45875
4x6p_528	-7.8833795
4x6p_532	-8.513772
4x6p_533	-8.774573
4x6p_544	-7.9312487
4x6p_548	-9.0606165
4x6p_549	-7.968684
4x6p_550	-8.591123
4x6p_551	-6.977117
4x6p_553	-7.7734118
4x6p_555	-8.355137
4x6p_559	-8.656158
4x6p_568	-7.608828
4x6p_570	-7.10083
4x6p_571	-6.96037
4x6p_577	-7.4537015
4x6p_579	-7.7449846
4x6p_583	-7.681512
4x6p_592	-9.1155405
4x6p_596	-7.909316
4x6p_612	-8.255452
4x6p_620	-9.82174
4x6p_621	-8.028183
4x6p_623	-9.511276
4x6p_636	-9.814578
4x6p_637	-8.78847
4x6p_642	-7.8685803
4x6p_644	-7.6294346
4x6p_646	-7.675516
4x6p_649	-9.243788
4x6p_650	-8.30465
4x6p_653	-8.360304
4x6p_657	-8.628488
4x6p_665	-8.168016
4x6p_666	-8.926262
4x6p_667	-8.602219
4x6p_668	-8.227106
4x6p_674	-7.6850786
4x6p_688	-7.7324643
4x6p_689	-8.13063
4x6p_693	-8.096653
4x6p_696	-9.173714
4x6p_706	-10.125976
4x6p_820	-9.803123
4x6p_835	-9.732876
4x6p_876	-9.595175
4x6p_889	-10.591586
4x6p_89	-7.472577
4x6p_97	-8.924253
4x6p_98	-9.566793
4x6p_ligand	-10.782357
