#code	score
1lpg_106	-7.9974065
1lpg_122	-6.323045
1lpg_149	-8.837228
1lpg_16	-7.3581505
1lpg_198	-8.466075
1lpg_212	-10.767736
1lpg_227	-10.501128
1lpg_237	-10.557846
1lpg_239	-9.420946
1lpg_244	-10.811142
1lpg_249	-11.409012
1lpg_253	-10.82918
1lpg_254	-10.907264
1lpg_256	-10.767912
1lpg_262	-10.396828
1lpg_266	-10.93595
1lpg_273	-10.727309
1lpg_282	-10.328849
1lpg_285	-10.903107
1lpg_286	-10.459521
1lpg_290	-10.355568
1lpg_296	-11.256916
1lpg_311	-7.2786055
1lpg_319	-7.884191
1lpg_320	-7.43363
1lpg_323	-7.033616
1lpg_327	-6.9298177
1lpg_348	-6.788149
1lpg_398	-9.543174
1lpg_403	-9.900082
1lpg_404	-9.884261
1lpg_405	-9.648286
1lpg_407	-9.921985
1lpg_412	-8.886563
1lpg_41	-6.832932
1lpg_420	-8.506143
1lpg_434	-9.028479
1lpg_441	-10.334265
1lpg_444	-9.695321
1lpg_447	-8.668153
1lpg_448	-8.654848
1lpg_451	-8.795053
1lpg_455	-8.555296
1lpg_460	-8.997639
1lpg_462	-8.407203
1lpg_468	-8.751607
1lpg_480	-8.686006
1lpg_488	-8.163921
1lpg_492	-8.327466
1lpg_495	-10.086312
1lpg_497	-9.845229
1lpg_499	-8.9182205
1lpg_500	-9.359978
1lpg_514	-9.768592
1lpg_522	-8.242312
1lpg_532	-8.111607
1lpg_538	-9.585727
1lpg_539	-6.4999266
1lpg_551	-7.0774846
1lpg_552	-7.1038337
1lpg_555	-6.1164966
1lpg_556	-8.102147
1lpg_559	-8.1949
1lpg_562	-5.26227
1lpg_570	-8.247386
1lpg_575	-7.217945
1lpg_582	-7.3679624
1lpg_585	-7.460017
1lpg_589	-8.249926
1lpg_599	-5.5447454
1lpg_619	-7.655796
1lpg_61	-7.4591093
1lpg_623	-6.647847
1lpg_639	-8.050124
1lpg_642	-6.0994287
1lpg_645	-8.301767
1lpg_646	-7.3155174
1lpg_656	-5.6254616
1lpg_665	-7.3469696
1lpg_670	-6.851061
1lpg_678	-7.870682
1lpg_679	-6.442068
1lpg_687	-5.470376
1lpg_695	-7.7312617
1lpg_703	-10.680285
1lpg_733	-9.460642
1lpg_734	-10.783873
1lpg_740	-9.392923
1lpg_750	-9.338693
1lpg_751	-9.104481
1lpg_75	-7.6735687
1lpg_791	-8.761173
1lpg_866	-9.890164
1lpg_86	-9.910358
1lpg_885	-8.921765
1lpg_925	-9.815801
1lpg_958	-9.215115
1lpg_972	-9.687284
1lpg_98	-8.608
1lpg_994	-10.25963
