#code	score
1nvq_402	-10.848879
1nvq_405	-12.069467
1nvq_410	-10.2874
1nvq_412	-11.931221
1nvq_424	-8.952867
1nvq_427	-9.947889
1nvq_431	-9.830077
1nvq_439	-10.037591
1nvq_444	-9.194371
1nvq_446	-11.5690975
1nvq_451	-11.355593
1nvq_461	-11.108577
1nvq_464	-10.378484
1nvq_473	-10.751298
1nvq_477	-11.492472
1nvq_481	-9.904268
1nvq_490	-9.194957
1nvq_491	-9.670198
1nvq_498	-10.566436
1nvq_500	-9.682878
1nvq_513	-9.143519
1nvq_522	-9.280041
1nvq_524	-10.978756
1nvq_543	-10.213274
1nvq_548	-11.086538
1nvq_553	-10.573995
1nvq_555	-11.00534
1nvq_559	-10.13925
1nvq_564	-8.851466
1nvq_566	-10.09305
1nvq_573	-9.541221
1nvq_583	-10.091785
1nvq_588	-10.742855
1nvq_600	-9.912813
1nvq_605	-11.032466
1nvq_606	-11.084316
1nvq_632	-11.321121
1nvq_634	-10.994656
1nvq_672	-11.143844
1nvq_674	-10.56999
1nvq_687	-9.112192
1nvq_689	-9.8576565
1nvq_692	-10.670932
1nvq_708	-11.4341955
1nvq_710	-11.572257
1nvq_723	-11.329753
1nvq_731	-11.161608
1nvq_738	-11.806089
1nvq_740	-11.048159
1nvq_742	-10.067584
1nvq_743	-10.632658
1nvq_745	-9.619236
1nvq_746	-9.490459
1nvq_747	-7.518256
1nvq_752	-10.849797
1nvq_759	-8.116044
1nvq_760	-8.043504
1nvq_761	-8.112251
1nvq_762	-8.069815
1nvq_765	-6.770688
1nvq_766	-7.242735
1nvq_767	-9.398181
1nvq_770	-8.988602
1nvq_771	-11.2270155
1nvq_772	-6.4280386
1nvq_775	-7.857947
1nvq_776	-8.956931
1nvq_777	-8.927391
1nvq_778	-6.940692
1nvq_783	-11.282933
1nvq_867	-11.377223
1nvq_871	-11.201051
1nvq_885	-9.067731
1nvq_927	-11.576329
1nvq_940	-11.689934
