#code	score
1r5y_113	-6.6393514
1r5y_118	-5.6270766
1r5y_167	-6.8391676
1r5y_179	-6.5654726
1r5y_180	-6.4491343
1r5y_181	-6.9029384
1r5y_197	-6.570891
1r5y_270	-6.7319684
1r5y_317	-6.5319095
1r5y_322	-6.846872
1r5y_324	-6.497102
1r5y_341	-6.6966963
1r5y_397	-6.034134
1r5y_402	-6.61752
1r5y_405	-6.5718703
1r5y_409	-6.582805
1r5y_412	-6.2596273
1r5y_416	-6.1548214
1r5y_423	-6.6944737
1r5y_425	-6.9395247
1r5y_426	-6.088207
1r5y_432	-6.951671
1r5y_434	-6.3257504
1r5y_441	-6.080108
1r5y_443	-6.2259264
1r5y_445	-6.632091
1r5y_452	-6.266153
1r5y_453	-6.5632176
1r5y_464	-6.302898
1r5y_469	-6.8560266
1r5y_477	-6.8969903
1r5y_480	-6.9356155
1r5y_496	-5.9420238
1r5y_497	-6.3261967
1r5y_498	-5.865936
1r5y_524	-4.8976884
1r5y_537	-5.528043
1r5y_538	-5.5036125
1r5y_540	-6.2066693
1r5y_541	-4.2714024
1r5y_542	-5.8129416
1r5y_545	-6.366933
1r5y_547	-6.2134585
1r5y_553	-5.110353
1r5y_562	-5.22606
1r5y_566	-5.2030997
1r5y_568	-4.831023
1r5y_571	-4.4644756
1r5y_579	-5.3526897
1r5y_583	-5.89583
1r5y_584	-5.2581744
1r5y_591	-6.0609097
1r5y_592	-5.066333
1r5y_595	-5.340971
1r5y_599	-5.9805446
1r5y_616	-5.9388056
1r5y_639	-5.960044
1r5y_641	-6.1721287
1r5y_686	-5.972925
1r5y_691	-6.3407693
1r5y_694	-5.788483
1r5y_727	-5.7513204
1r5y_732	-4.66847
1r5y_733	-4.650958
1r5y_735	-4.604185
1r5y_745	-5.613015
1r5y_746	-5.639703
1r5y_751	-5.2957196
1r5y_755	-5.676652
1r5y_759	-4.970681
1r5y_762	-5.568939
1r5y_763	-4.9909377
1r5y_766	-4.71996
1r5y_767	-4.8677225
1r5y_770	-5.7156663
1r5y_776	-4.890542
1r5y_777	-5.451612
1r5y_780	-4.0227942
1r5y_782	-4.1841044
1r5y_783	-4.2463593
1r5y_785	-3.738017
1r5y_786	-4.1188374
1r5y_787	-4.0509214
1r5y_791	-6.755041
1r5y_820	-6.5092406
1r5y_853	-5.7092814
1r5y_868	-5.481225
1r5y_870	-4.9896035
1r5y_883	-4.897591
1r5y_887	-5.7847466
1r5y_90	-6.769192
1r5y_928	-6.001471
1r5y_987	-5.0417275
