#code	score
1sqa_120	-8.49809
1sqa_145	-7.7634187
1sqa_177	-8.1195755
1sqa_20	-8.964352
1sqa_238	-10.406028
1sqa_258	-8.964602
1sqa_322	-8.414668
1sqa_357	-8.037595
1sqa_366	-8.127385
1sqa_411	-9.258538
1sqa_415	-8.218049
1sqa_418	-8.781819
1sqa_425	-8.04175
1sqa_426	-8.89948
1sqa_427	-8.37616
1sqa_430	-8.940436
1sqa_433	-8.0440645
1sqa_436	-8.827687
1sqa_442	-7.7847285
1sqa_445	-8.3435545
1sqa_448	-8.774633
1sqa_449	-8.308651
1sqa_458	-7.095188
1sqa_473	-7.816126
1sqa_474	-7.7219276
1sqa_475	-7.470535
1sqa_476	-8.114643
1sqa_479	-9.186498
1sqa_481	-9.0192375
1sqa_486	-8.509509
1sqa_490	-8.604689
1sqa_496	-8.2831955
1sqa_499	-8.072211
1sqa_517	-7.872752
1sqa_524	-7.166954
1sqa_526	-6.7128053
1sqa_530	-8.962569
1sqa_531	-6.3628683
1sqa_532	-7.7714043
1sqa_537	-7.9857635
1sqa_539	-7.3230047
1sqa_543	-8.72148
1sqa_547	-7.398933
1sqa_548	-5.422593
1sqa_549	-6.992904
1sqa_556	-7.4117274
1sqa_557	-6.236445
1sqa_560	-8.614328
1sqa_573	-5.9700265
1sqa_575	-7.096794
1sqa_581	-7.12758
1sqa_588	-7.7731495
1sqa_589	-8.661239
1sqa_597	-7.86511
1sqa_610	-9.249841
1sqa_620	-7.6454706
1sqa_635	-8.7891
1sqa_637	-8.292636
1sqa_638	-7.892094
1sqa_643	-7.8806405
1sqa_644	-7.2679267
1sqa_650	-7.267888
1sqa_654	-7.4024744
1sqa_662	-7.870617
1sqa_668	-8.0634775
1sqa_669	-7.966749
1sqa_672	-7.7394223
1sqa_679	-7.742889
1sqa_682	-7.9206686
1sqa_687	-8.274176
1sqa_692	-7.6521134
1sqa_693	-8.707198
1sqa_696	-7.213277
1sqa_747	-8.781544
1sqa_761	-8.6614065
1sqa_776	-8.54294
1sqa_787	-8.324362
1sqa_788	-8.2359085
1sqa_789	-8.137622
1sqa_808	-7.0085096
1sqa_819	-6.58376
1sqa_827	-7.741636
1sqa_836	-6.8932586
1sqa_839	-5.9096
1sqa_845	-7.4242935
1sqa_849	-5.452077
1sqa_854	-7.65524
1sqa_857	-6.2538376
1sqa_860	-7.7440047
1sqa_867	-6.3261933
1sqa_870	-6.980693
1sqa_88	-10.300305
