#code	score
2fvd_102	-10.623992
2fvd_105	-8.62059
2fvd_107	-6.543991
2fvd_10	-9.10895
2fvd_116	-8.627667
2fvd_118	-7.9344144
2fvd_121	-7.298271
2fvd_122	-8.971659
2fvd_126	-6.612485
2fvd_136	-8.369406
2fvd_169	-7.395837
2fvd_175	-7.6745234
2fvd_188	-6.521475
2fvd_200	-7.8902736
2fvd_204	-9.504195
2fvd_210	-10.052411
2fvd_211	-10.739709
2fvd_219	-8.202275
2fvd_220	-9.006112
2fvd_223	-10.481514
2fvd_225	-10.393216
2fvd_235	-10.098102
2fvd_238	-8.844523
2fvd_243	-8.062434
2fvd_24	-8.45071
2fvd_266	-7.8660088
2fvd_270	-10.58774
2fvd_275	-10.764576
2fvd_282	-8.557016
2fvd_286	-9.795325
2fvd_288	-10.484049
2fvd_292	-10.076642
2fvd_309	-7.8272266
2fvd_312	-8.273238
2fvd_345	-9.910759
2fvd_348	-7.9379406
2fvd_34	-10.638894
2fvd_369	-8.763372
2fvd_382	-8.5765
2fvd_388	-7.276341
2fvd_397	-7.3062296
2fvd_39	-10.40459
2fvd_408	-5.986661
2fvd_40	-10.153707
2fvd_410	-10.126204
2fvd_421	-10.287403
2fvd_428	-9.920972
2fvd_42	-9.174228
2fvd_434	-8.447566
2fvd_435	-7.7750897
2fvd_443	-8.048136
2fvd_467	-10.714731
2fvd_468	-8.652314
2fvd_469	-8.073755
2fvd_475	-8.131473
2fvd_478	-8.328886
2fvd_484	-8.8075695
2fvd_48	-9.029623
2fvd_490	-7.727827
2fvd_495	-9.601517
2fvd_505	-9.2247505
2fvd_50	-8.400453
2fvd_553	-8.337833
2fvd_555	-9.34736
2fvd_585	-8.323294
2fvd_592	-8.390164
2fvd_599	-8.375856
2fvd_602	-9.310505
2fvd_603	-8.443173
2fvd_606	-9.002903
2fvd_610	-8.208518
2fvd_62	-8.917974
2fvd_637	-8.503945
2fvd_638	-7.8027587
2fvd_639	-7.7056394
2fvd_640	-8.734423
2fvd_642	-8.56468
2fvd_645	-9.052661
2fvd_649	-7.849003
2fvd_65	-10.161387
2fvd_673	-8.504738
2fvd_679	-8.200053
2fvd_680	-8.588481
2fvd_695	-8.973485
2fvd_698	-9.049672
2fvd_6	-10.218524
2fvd_71	-9.656154
2fvd_72	-8.706518
2fvd_747	-10.561052
2fvd_751	-9.973335
2fvd_76	-10.444833
2fvd_778	-8.399789
2fvd_780	-9.527756
2fvd_783	-6.6668177
2fvd_809	-10.325706
2fvd_86	-10.473768
2fvd_872	-8.570101
2fvd_880	-9.349888
2fvd_881	-7.8592057
2fvd_889	-10.189897
