#code	score
2hb1_102	-6.2050242
2hb1_134	-6.5223436
2hb1_148	-5.87547
2hb1_149	-6.7204375
2hb1_167	-6.2455063
2hb1_175	-6.384711
2hb1_313	-6.472252
2hb1_330	-6.7080135
2hb1_376	-6.600962
2hb1_408	-5.7377
2hb1_417	-6.019778
2hb1_424	-5.6724286
2hb1_427	-6.159992
2hb1_438	-5.651097
2hb1_440	-5.932482
2hb1_447	-6.3254595
2hb1_448	-6.2146583
2hb1_457	-6.3156476
2hb1_463	-6.9047785
2hb1_477	-5.9732566
2hb1_480	-6.1469917
2hb1_485	-6.148248
2hb1_495	-5.678382
2hb1_504	-6.327228
2hb1_559	-5.6495194
2hb1_562	-6.517163
2hb1_573	-5.184023
2hb1_574	-6.062417
2hb1_613	-4.5234885
2hb1_640	-6.646454
2hb1_642	-6.37643
2hb1_664	-5.6085043
2hb1_666	-5.9926224
2hb1_675	-5.914057
2hb1_689	-5.711748
2hb1_690	-5.991269
2hb1_695	-5.293483
2hb1_763	-5.628363
2hb1_772	-6.0145655
2hb1_785	-5.41674
2hb1_981	-6.324792
