#code	score
2qe4_165	-9.847213
2qe4_249	-9.8420925
2qe4_309	-9.769379
2qe4_3	-9.7358265
2qe4_422	-8.888765
2qe4_435	-8.906048
2qe4_441	-9.111099
2qe4_446	-8.347752
2qe4_447	-9.017008
2qe4_448	-9.770998
2qe4_499	-8.481396
2qe4_500	-8.684984
2qe4_509	-9.585131
2qe4_551	-9.088404
2qe4_552	-9.091438
2qe4_574	-8.344769
2qe4_597	-8.507138
2qe4_611	-8.515267
2qe4_629	-9.055591
2qe4_689	-8.591259
2qe4_693	-8.741605
2qe4_694	-8.501521
2qe4_698	-8.875036
2qe4_705	-9.678752
2qe4_718	-9.992827
2qe4_741	-9.813722
2qe4_750	-8.479052
2qe4_754	-8.312084
2qe4_757	-8.617358
2qe4_770	-8.471479
2qe4_771	-8.168248
2qe4_777	-8.943897
2qe4_779	-9.001477
2qe4_780	-9.211392
2qe4_784	-8.660558
2qe4_786	-9.029901
2qe4_788	-8.202908
2qe4_789	-8.428494
2qe4_793	-8.850795
2qe4_796	-9.014521
2qe4_797	-8.791265
2qe4_79	-9.806654
2qe4_832	-8.630661
2qe4_83	-9.801982
2qe4_841	-9.473524
2qe4_850	-8.603329
2qe4_875	-9.938487
2qe4_877	-8.350287
2qe4_964	-9.75251
2qe4_977	-9.626889
