#code	score
2wbg_111	-7.6836014
2wbg_117	-8.126563
2wbg_123	-7.3681808
2wbg_153	-8.715673
2wbg_15	-10.094972
2wbg_164	-7.720483
2wbg_270	-9.883426
2wbg_309	-8.198524
2wbg_322	-7.982593
2wbg_331	-9.376073
2wbg_336	-8.114689
2wbg_345	-8.330896
2wbg_365	-7.934791
2wbg_367	-7.878409
2wbg_379	-7.7039638
2wbg_389	-8.168768
2wbg_421	-9.178122
2wbg_439	-8.519308
2wbg_467	-9.690364
2wbg_470	-8.546743
2wbg_473	-8.734792
2wbg_492	-9.020299
2wbg_4	-9.806455
2wbg_511	-8.464766
2wbg_514	-8.243715
2wbg_521	-9.4913845
2wbg_525	-8.499354
2wbg_527	-8.119372
2wbg_533	-8.312861
2wbg_543	-8.704292
2wbg_554	-8.29252
2wbg_559	-7.7179503
2wbg_565	-8.911978
2wbg_566	-9.800637
2wbg_588	-7.7228703
2wbg_593	-8.128427
2wbg_598	-8.531824
2wbg_625	-8.429905
2wbg_637	-9.251792
2wbg_649	-8.676379
2wbg_650	-8.775818
2wbg_667	-8.434921
2wbg_668	-9.206215
2wbg_688	-7.114796
2wbg_715	-9.979929
2wbg_719	-9.434887
2wbg_721	-9.631932
2wbg_730	-9.796851
2wbg_731	-9.5421505
2wbg_734	-9.701924
2wbg_737	-9.553831
2wbg_742	-9.406345
2wbg_747	-9.451473
2wbg_750	-9.403604
2wbg_754	-9.532708
2wbg_755	-9.516645
2wbg_75	-9.9077
2wbg_763	-8.502041
2wbg_767	-9.676348
2wbg_775	-9.269156
2wbg_779	-8.548299
2wbg_781	-9.025407
2wbg_783	-7.8234534
2wbg_784	-8.066105
2wbg_786	-8.159838
2wbg_788	-9.034665
2wbg_791	-8.063657
2wbg_792	-7.791911
2wbg_795	-8.93826
2wbg_797	-6.296074
2wbg_880	-9.317097
2wbg_886	-9.523324
2wbg_889	-9.229271
2wbg_897	-9.339112
2wbg_944	-10.159872
2wbg_976	-9.845761
