#code	score
2wca_144	-7.5333066
2wca_161	-7.455027
2wca_173	-7.8510365
2wca_201	-7.6320004
2wca_206	-9.236787
2wca_20	-7.9378896
2wca_219	-8.873768
2wca_225	-8.650476
2wca_235	-7.9838486
2wca_23	-8.822902
2wca_241	-8.084813
2wca_254	-8.360832
2wca_264	-8.716729
2wca_267	-8.543179
2wca_269	-7.742111
2wca_273	-8.440231
2wca_281	-7.9075146
2wca_287	-8.47575
2wca_37	-8.03264
2wca_414	-8.641576
2wca_417	-8.685204
2wca_444	-7.200013
2wca_478	-8.773676
2wca_483	-9.240863
2wca_488	-8.607538
2wca_496	-8.537559
2wca_545	-7.728316
2wca_550	-8.181718
2wca_564	-8.792253
2wca_575	-8.025171
2wca_585	-8.925896
2wca_586	-8.816571
2wca_587	-7.7036996
2wca_592	-8.077392
2wca_596	-8.071
2wca_599	-6.32084
2wca_5	-9.366493
2wca_600	-7.426826
2wca_610	-7.5668855
2wca_613	-8.04512
2wca_616	-6.8866496
2wca_638	-7.583561
2wca_653	-7.8339996
2wca_657	-7.241281
2wca_65	-9.25279
2wca_662	-6.370149
2wca_674	-8.039962
2wca_679	-8.356574
2wca_692	-7.8640018
2wca_700	-8.164721
2wca_72	-9.387779
2wca_731	-7.7685547
2wca_745	-7.648776
2wca_755	-7.237676
2wca_760	-7.3766828
2wca_773	-8.482689
2wca_786	-7.243637
2wca_788	-7.9628706
2wca_791	-6.552248
2wca_816	-7.713265
2wca_81	-7.934739
2wca_829	-7.4927807
2wca_82	-9.099919
2wca_851	-8.103973
2wca_853	-6.2946286
2wca_855	-7.435538
2wca_887	-7.5898223
2wca_903	-7.15082
2wca_908	-7.5255084
2wca_90	-8.214359
2wca_925	-8.110893
2wca_92	-8.121857
2wca_936	-7.573777
2wca_951	-8.045258
2wca_960	-8.105599
2wca_961	-7.2398076
2wca_965	-7.662231
2wca_971	-7.5374994
2wca_974	-7.0509124
2wca_983	-7.3798566
