#code	score
2weg_106	-5.254227
2weg_146	-6.2673364
2weg_177	-5.81723
2weg_204	-5.905471
2weg_20	-5.965708
2weg_218	-5.97286
2weg_21	-5.8362265
2weg_248	-5.4980674
2weg_301	-4.395322
2weg_314	-6.034297
2weg_335	-5.8108954
2weg_343	-5.9135957
2weg_371	-6.1595273
2weg_385	-5.912739
2weg_387	-5.936273
2weg_390	-5.228762
2weg_407	-5.8432517
2weg_415	-5.692106
2weg_419	-4.29192
2weg_437	-4.613998
2weg_443	-5.928773
2weg_447	-5.9096603
2weg_468	-4.7820644
2weg_472	-6.468593
2weg_476	-4.9716907
2weg_502	-5.5814652
2weg_515	-5.602344
2weg_517	-4.5245004
2weg_518	-4.8686285
2weg_520	-5.241737
2weg_525	-5.761399
2weg_52	-5.810606
2weg_530	-5.8843913
2weg_542	-4.440274
2weg_566	-4.884771
2weg_579	-5.435987
2weg_582	-5.221188
2weg_592	-5.5216007
2weg_598	-5.160885
2weg_599	-6.3095965
2weg_604	-6.0783453
2weg_614	-5.3421025
2weg_620	-5.0528574
2weg_632	-4.5436897
2weg_643	-5.212235
2weg_644	-4.3920574
2weg_653	-5.3038583
2weg_666	-4.624098
2weg_674	-5.117237
2weg_686	-4.7476616
2weg_699	-4.5289297
2weg_765	-4.950295
2weg_776	-4.7112613
2weg_784	-4.0281715
2weg_785	-4.3623724
2weg_80	-5.70594
2weg_838	-5.7653656
