#code	score
2wnc_127	-7.58852
2wnc_168	-6.835913
2wnc_267	-7.843995
2wnc_302	-7.685721
2wnc_35	-7.718745
2wnc_370	-7.621851
2wnc_437	-8.511603
2wnc_458	-8.332793
2wnc_473	-7.6617618
2wnc_474	-7.338022
2wnc_48	-7.7479296
2wnc_498	-7.681257
2wnc_514	-6.941698
2wnc_519	-6.6176667
2wnc_525	-6.791127
2wnc_527	-5.781105
2wnc_532	-6.7829
2wnc_536	-5.9345975
2wnc_537	-6.3329787
2wnc_538	-5.4344764
2wnc_539	-5.9136825
2wnc_541	-5.0556927
2wnc_542	-5.8008914
2wnc_554	-6.1431665
2wnc_557	-6.734073
2wnc_558	-4.7684884
2wnc_561	-6.6723657
2wnc_564	-4.730936
2wnc_575	-4.9619074
2wnc_578	-6.0282254
2wnc_582	-5.2988467
2wnc_585	-5.7649026
2wnc_587	-5.9512224
2wnc_589	-5.3849306
2wnc_594	-7.43042
2wnc_595	-7.959412
2wnc_597	-4.866864
2wnc_599	-6.784028
2wnc_600	-6.5429835
2wnc_632	-6.586173
2wnc_636	-5.400958
2wnc_645	-5.702124
2wnc_647	-7.063364
2wnc_661	-5.789146
2wnc_664	-6.2880597
2wnc_681	-5.6174135
2wnc_689	-7.238251
2wnc_702	-7.883629
2wnc_717	-7.701713
2wnc_722	-8.629326
2wnc_723	-7.123342
2wnc_728	-5.2674646
2wnc_732	-5.739352
2wnc_734	-5.73423
2wnc_737	-7.6529613
2wnc_741	-9.323354
2wnc_744	-8.164933
2wnc_747	-7.6626186
2wnc_752	-8.944252
2wnc_754	-5.527457
2wnc_755	-7.6235766
2wnc_757	-8.445193
2wnc_760	-5.0189366
2wnc_763	-4.474115
2wnc_766	-5.953875
2wnc_770	-5.859672
2wnc_776	-5.346865
2wnc_779	-7.724346
2wnc_780	-6.3443
2wnc_781	-6.7461214
2wnc_796	-7.9059324
2wnc_825	-7.472729
2wnc_828	-8.127351
2wnc_848	-7.6036696
2wnc_849	-7.561787
2wnc_853	-4.923675
2wnc_856	-5.3091917
2wnc_860	-7.5279975
2wnc_862	-4.8946033
2wnc_868	-6.45154
2wnc_872	-8.4757395
2wnc_874	-5.831616
2wnc_879	-5.016098
2wnc_891	-7.8278804
2wnc_903	-7.8555007
2wnc_915	-7.580945
2wnc_928	-8.0904665
2wnc_951	-8.098401
2wnc_952	-7.5110908
2wnc_969	-7.5576406
2wnc_972	-7.5638623
2wnc_981	-7.807438
2wnc_99	-7.647826
