#code	score
2xii_108	-9.201884
2xii_131	-8.43315
2xii_137	-7.519763
2xii_146	-8.9167795
2xii_151	-9.250098
2xii_185	-9.043254
2xii_199	-8.063688
2xii_237	-9.142319
2xii_238	-9.365166
2xii_252	-9.663274
2xii_253	-9.454284
2xii_293	-9.283314
2xii_355	-8.969321
2xii_397	-8.850082
2xii_401	-9.317003
2xii_402	-9.279102
2xii_406	-8.711059
2xii_407	-8.64044
2xii_409	-9.075973
2xii_413	-9.341442
2xii_414	-8.633941
2xii_415	-9.067748
2xii_417	-8.332993
2xii_419	-8.374652
2xii_426	-8.510604
2xii_427	-8.766526
2xii_429	-7.7513647
2xii_435	-8.873793
2xii_436	-9.760512
2xii_438	-9.271308
2xii_445	-7.695164
2xii_451	-7.796809
2xii_452	-9.030495
2xii_456	-9.07159
2xii_459	-8.021037
2xii_464	-8.658309
2xii_467	-7.3502307
2xii_468	-8.452896
2xii_469	-8.727754
2xii_470	-8.123489
2xii_471	-8.785293
2xii_492	-7.172905
2xii_494	-7.5082946
2xii_496	-7.3155932
2xii_497	-7.1620774
2xii_49	-9.392441
2xii_513	-7.539385
2xii_525	-7.735063
2xii_528	-7.1281023
2xii_535	-6.8573747
2xii_542	-7.0601315
2xii_547	-7.741324
2xii_550	-7.194724
2xii_552	-7.6444535
2xii_554	-6.588928
2xii_558	-8.741133
2xii_561	-7.677163
2xii_564	-7.1544747
2xii_567	-7.181169
2xii_570	-7.397204
2xii_576	-8.429497
2xii_584	-8.175663
2xii_586	-6.1940866
2xii_593	-7.048326
2xii_594	-6.424961
2xii_621	-6.4099936
2xii_637	-8.192155
2xii_641	-6.8713965
2xii_661	-6.9235954
2xii_665	-7.4367943
2xii_674	-8.200334
2xii_683	-7.996782
2xii_688	-6.666237
2xii_696	-5.9371076
2xii_69	-9.55192
2xii_705	-9.60222
2xii_715	-9.347245
2xii_729	-8.956051
2xii_757	-8.148315
2xii_760	-8.999599
2xii_762	-8.15326
2xii_763	-8.592767
2xii_765	-8.248711
2xii_822	-9.094964
2xii_84	-9.075656
2xii_968	-9.381823
2xii_97	-9.9811125
