#code	score
2zb1_105	-10.887337
2zb1_16	-10.674198
2zb1_203	-11.249896
2zb1_206	-11.303491
2zb1_329	-10.932633
2zb1_423	-9.837992
2zb1_425	-10.651584
2zb1_426	-10.864631
2zb1_461	-9.021381
2zb1_469	-9.7773695
2zb1_475	-9.600525
2zb1_476	-10.27023
2zb1_479	-10.507122
2zb1_485	-9.87559
2zb1_487	-9.6688595
2zb1_488	-10.161846
2zb1_494	-7.5814314
2zb1_510	-10.016442
2zb1_515	-9.307324
2zb1_533	-9.749954
2zb1_541	-9.058556
2zb1_549	-8.945195
2zb1_55	-10.962272
2zb1_565	-9.26444
2zb1_568	-9.274314
2zb1_570	-9.190462
2zb1_573	-9.224669
2zb1_576	-8.175103
2zb1_577	-8.369459
2zb1_578	-8.650029
2zb1_580	-8.914712
2zb1_581	-8.681371
2zb1_582	-6.823582
2zb1_585	-9.154506
2zb1_588	-9.420421
2zb1_590	-7.643807
2zb1_593	-8.01061
2zb1_597	-8.391879
2zb1_599	-8.354586
2zb1_622	-7.6829987
2zb1_626	-9.079933
2zb1_636	-9.346686
2zb1_639	-9.305625
2zb1_645	-8.897385
2zb1_651	-9.535377
2zb1_658	-8.329869
2zb1_660	-7.881474
2zb1_663	-8.309811
2zb1_665	-8.990361
2zb1_667	-8.186556
2zb1_669	-10.068081
2zb1_672	-10.788452
2zb1_673	-9.702468
2zb1_678	-8.609096
2zb1_680	-9.457051
2zb1_683	-8.605052
2zb1_686	-8.201499
2zb1_688	-8.963493
2zb1_689	-9.504763
2zb1_699	-9.619143
2zb1_726	-10.661944
2zb1_741	-7.415686
2zb1_742	-7.945918
2zb1_744	-7.881423
2zb1_745	-9.446988
2zb1_760	-7.954294
2zb1_761	-8.11831
2zb1_763	-9.004112
2zb1_821	-10.338852
2zb1_85	-10.613913
2zb1_875	-9.683779
2zb1_963	-10.746461
2zb1_98	-10.937555
