#code	score
3aru_10	-6.8336935
3aru_167	-6.291737
3aru_169	-5.5767093
3aru_174	-5.9372244
3aru_202	-7.5666146
3aru_205	-6.337583
3aru_222	-6.6219873
3aru_235	-7.526142
3aru_239	-8.14136
3aru_240	-7.060996
3aru_268	-7.894105
3aru_270	-8.922017
3aru_272	-7.5561347
3aru_297	-7.1190405
3aru_306	-6.4971366
3aru_311	-6.4363265
3aru_314	-6.733388
3aru_320	-6.1671515
3aru_336	-6.7130065
3aru_356	-6.6392765
3aru_362	-6.4972653
3aru_38	-6.3336062
3aru_39	-6.1110735
3aru_40	-6.297947
3aru_449	-6.30071
3aru_450	-6.285049
3aru_478	-6.8079524
3aru_482	-5.946339
3aru_483	-6.419799
3aru_48	-6.929243
3aru_502	-6.1519957
3aru_512	-5.2433057
3aru_521	-5.668812
3aru_530	-5.964522
3aru_532	-6.3239446
3aru_533	-6.2315283
3aru_544	-6.9704447
3aru_546	-6.7290797
3aru_565	-5.5753837
3aru_566	-5.706153
3aru_573	-5.5907564
3aru_577	-5.505191
3aru_587	-5.832264
3aru_589	-5.0791287
3aru_58	-6.7486024
3aru_592	-5.145631
3aru_594	-5.0498176
3aru_595	-5.0057306
3aru_604	-5.946156
3aru_60	-6.9789515
3aru_618	-6.2805285
3aru_621	-7.588227
3aru_62	-6.4599504
3aru_64	-6.9356756
3aru_654	-7.079382
3aru_686	-7.4338827
3aru_695	-6.0302134
3aru_698	-7.231055
3aru_709	-6.155928
3aru_715	-6.722172
3aru_716	-6.9298034
3aru_721	-6.221061
3aru_725	-6.6028004
3aru_728	-7.191152
3aru_745	-7.050692
3aru_749	-6.595209
3aru_776	-6.532508
3aru_777	-5.57073
3aru_780	-7.129319
3aru_789	-6.237312
3aru_790	-6.4074593
3aru_791	-6.0831466
3aru_817	-6.2263155
3aru_852	-5.8993077
3aru_858	-6.718146
3aru_88	-6.6683006
3aru_902	-6.6662006
3aru_909	-6.2102003
3aru_925	-5.8032546
3aru_930	-6.167264
3aru_93	-6.412683
3aru_949	-6.3027587
3aru_952	-6.3790045
3aru_98	-6.6146955
3aru_99	-6.5926
