#code	score
3b5r_161	-10.40548
3b5r_217	-9.926535
3b5r_219	-10.230696
3b5r_220	-9.999969
3b5r_228	-10.107198
3b5r_260	-10.121281
3b5r_267	-10.182302
3b5r_283	-9.839667
3b5r_317	-9.7527275
3b5r_331	-9.765208
3b5r_354	-9.690673
3b5r_363	-10.276175
3b5r_409	-10.037885
3b5r_413	-9.946218
3b5r_428	-10.211777
3b5r_432	-9.633675
3b5r_443	-10.543234
3b5r_465	-11.00842
3b5r_468	-10.75604
3b5r_470	-9.100725
3b5r_472	-10.74876
3b5r_477	-9.219518
3b5r_486	-9.97054
3b5r_527	-9.261242
3b5r_531	-8.236113
3b5r_537	-10.6021185
3b5r_550	-11.695516
3b5r_557	-9.910347
3b5r_55	-9.739037
3b5r_568	-10.139889
3b5r_571	-8.619611
3b5r_574	-10.16634
3b5r_575	-8.746846
3b5r_578	-7.923507
3b5r_581	-8.679152
3b5r_592	-9.273188
3b5r_615	-9.060349
3b5r_620	-8.64402
3b5r_625	-7.7305584
3b5r_627	-9.919964
3b5r_646	-7.9344773
3b5r_648	-8.335055
3b5r_649	-8.062729
3b5r_652	-9.115777
3b5r_656	-9.469569
3b5r_658	-9.0118475
3b5r_659	-12.37848
3b5r_666	-9.640921
3b5r_668	-8.020435
3b5r_669	-9.986639
3b5r_678	-8.029339
3b5r_680	-11.558907
3b5r_683	-7.3607287
3b5r_697	-8.82649
3b5r_763	-10.155704
3b5r_770	-9.525347
3b5r_772	-10.771674
3b5r_776	-9.438008
3b5r_781	-9.284881
3b5r_789	-9.128789
3b5r_792	-10.232805
3b5r_796	-9.946157
3b5r_911	-9.672798
3b5r_969	-9.578876
