#code	score
3e5a_102	-8.935681
3e5a_106	-9.561948
3e5a_116	-8.472729
3e5a_129	-9.998291
3e5a_140	-9.257085
3e5a_143	-7.548965
3e5a_156	-8.05945
3e5a_157	-6.7445207
3e5a_175	-10.02607
3e5a_209	-10.244548
3e5a_211	-10.673233
3e5a_217	-10.097857
3e5a_226	-10.5813265
3e5a_229	-9.61168
3e5a_231	-10.140015
3e5a_247	-10.612531
3e5a_285	-10.490269
3e5a_286	-10.860115
3e5a_297	-9.685588
3e5a_305	-10.411475
3e5a_313	-10.224344
3e5a_315	-8.321753
3e5a_332	-8.053301
3e5a_333	-9.27583
3e5a_345	-10.539084
3e5a_362	-10.741895
3e5a_372	-10.510447
3e5a_398	-10.398334
3e5a_413	-8.381187
3e5a_414	-9.413344
3e5a_420	-8.449806
3e5a_421	-9.2073
3e5a_431	-8.917587
3e5a_434	-9.22583
3e5a_436	-7.8289
3e5a_442	-8.585997
3e5a_456	-9.962716
3e5a_458	-7.778258
3e5a_467	-8.998863
3e5a_468	-9.601957
3e5a_487	-8.825124
3e5a_488	-8.076852
3e5a_490	-8.232421
3e5a_491	-8.063281
3e5a_49	-10.604567
3e5a_535	-8.426078
3e5a_541	-8.303881
3e5a_555	-7.151074
3e5a_566	-8.609261
3e5a_576	-8.338687
3e5a_577	-6.5610094
3e5a_578	-7.8768015
3e5a_581	-8.356773
3e5a_602	-8.539431
3e5a_606	-9.00327
3e5a_629	-7.9118996
3e5a_652	-7.4893694
3e5a_659	-6.4732
3e5a_668	-7.2284846
3e5a_671	-7.839414
3e5a_676	-7.2109904
3e5a_683	-10.455926
3e5a_688	-6.9685955
3e5a_693	-7.0604906
3e5a_696	-6.9233193
3e5a_698	-7.9551225
3e5a_69	-9.944175
3e5a_720	-10.134694
3e5a_726	-10.264536
3e5a_744	-9.354278
3e5a_745	-9.992286
3e5a_749	-8.784877
3e5a_759	-10.357567
3e5a_761	-8.075938
3e5a_762	-6.696169
3e5a_765	-7.343364
3e5a_766	-7.3869977
3e5a_787	-10.42227
3e5a_799	-9.427241
3e5a_855	-10.189593
3e5a_857	-8.134978
3e5a_868	-9.06441
3e5a_86	-8.36193
3e5a_902	-9.9122925
3e5a_90	-8.070713
3e5a_910	-9.908695
3e5a_91	-8.439805
3e5a_94	-7.213378
