#code	score
3fv2_172	-8.181515
3fv2_177	-8.464923
3fv2_200	-8.331683
3fv2_298	-8.44845
3fv2_302	-8.420996
3fv2_408	-8.079962
3fv2_409	-8.588793
3fv2_412	-8.712409
3fv2_424	-8.603384
3fv2_429	-7.687001
3fv2_42	-8.383332
3fv2_430	-7.8255095
3fv2_459	-8.388715
3fv2_466	-8.00825
3fv2_484	-8.263587
3fv2_485	-9.501073
3fv2_488	-7.5693216
3fv2_489	-7.9359846
3fv2_500	-7.9828105
3fv2_503	-8.751005
3fv2_509	-8.303552
3fv2_510	-7.8391075
3fv2_514	-8.789398
3fv2_517	-9.427495
3fv2_520	-8.271915
3fv2_547	-7.794919
3fv2_548	-7.945111
3fv2_556	-8.742602
3fv2_559	-8.931702
3fv2_563	-8.317438
3fv2_566	-8.336114
3fv2_576	-8.249292
3fv2_582	-6.7236934
3fv2_588	-8.5933695
3fv2_590	-7.6768823
3fv2_592	-8.378091
3fv2_613	-8.336468
3fv2_623	-8.682484
3fv2_626	-8.569708
3fv2_642	-7.5422945
3fv2_652	-8.428794
3fv2_657	-9.346228
3fv2_658	-7.904838
3fv2_675	-8.291134
3fv2_676	-8.476205
3fv2_681	-7.513147
3fv2_684	-8.553328
3fv2_688	-8.317763
3fv2_699	-9.386831
3fv2_832	-8.23552
