#code	score
3gc5_402	-7.309306
3gc5_403	-7.72558
3gc5_406	-7.550048
3gc5_408	-7.554172
3gc5_426	-7.4871593
3gc5_427	-6.9369793
3gc5_428	-6.6391377
3gc5_436	-7.129229
3gc5_446	-7.61536
3gc5_451	-7.204296
3gc5_457	-6.763981
3gc5_460	-7.349623
3gc5_461	-7.031188
3gc5_463	-7.438266
3gc5_464	-7.772397
3gc5_467	-7.1389074
3gc5_471	-7.6934805
3gc5_475	-7.431063
3gc5_492	-7.9692597
3gc5_495	-7.062655
3gc5_500	-7.2645793
3gc5_507	-7.2146306
3gc5_516	-7.1493134
3gc5_518	-6.8421226
3gc5_524	-7.468324
3gc5_532	-6.9438753
3gc5_536	-7.1080127
3gc5_551	-6.4189286
3gc5_556	-6.215996
3gc5_559	-7.751259
3gc5_563	-6.999842
3gc5_565	-5.6457453
3gc5_566	-7.0313363
3gc5_567	-7.3427825
3gc5_574	-7.0235972
3gc5_577	-7.6266766
3gc5_580	-7.2852564
3gc5_582	-5.795005
3gc5_585	-6.5129776
3gc5_589	-6.890493
3gc5_603	-7.75048
3gc5_604	-7.37285
3gc5_605	-7.3136215
3gc5_606	-7.5443163
3gc5_607	-7.316968
3gc5_617	-7.574503
3gc5_627	-7.0044646
3gc5_631	-7.764327
3gc5_632	-6.202836
3gc5_636	-7.3291073
3gc5_638	-7.7586136
3gc5_646	-6.6591253
3gc5_647	-7.967851
3gc5_657	-7.10607
3gc5_662	-7.533248
3gc5_663	-7.285421
3gc5_679	-6.9976277
3gc5_682	-7.1069493
3gc5_691	-7.2977166
3gc5_696	-5.879822
3gc5_715	-7.743054
3gc5_733	-6.694791
3gc5_739	-6.003793
3gc5_749	-5.4622903
3gc5_752	-5.4943385
3gc5_755	-8.261699
3gc5_757	-6.677529
3gc5_758	-6.6943784
3gc5_759	-5.989493
3gc5_764	-5.366921
3gc5_770	-5.8904996
3gc5_772	-5.8657165
3gc5_773	-5.965319
3gc5_775	-5.735801
3gc5_776	-5.711664
3gc5_777	-5.2612743
3gc5_778	-5.3383536
3gc5_779	-5.381095
3gc5_780	-5.730486
3gc5_783	-6.2200694
3gc5_784	-6.237984
3gc5_822	-7.6404214
3gc5_878	-6.208314
3gc5_879	-6.1956434
3gc5_973	-7.0818567
