#code	score
3ivg_107	-7.668512
3ivg_108	-7.471815
3ivg_10	-8.38921
3ivg_14	-8.898242
3ivg_150	-6.771807
3ivg_161	-6.7061534
3ivg_209	-8.980117
3ivg_218	-8.916759
3ivg_236	-8.903473
3ivg_250	-9.078363
3ivg_252	-8.95556
3ivg_253	-8.438465
3ivg_255	-8.845106
3ivg_262	-8.873889
3ivg_275	-9.131218
3ivg_276	-8.928932
3ivg_291	-7.939292
3ivg_313	-7.706681
3ivg_330	-7.88232
3ivg_40	-7.2564173
3ivg_410	-8.89461
3ivg_438	-7.711115
3ivg_440	-8.020995
3ivg_44	-8.0135765
3ivg_45	-6.761807
3ivg_471	-8.380543
3ivg_479	-7.927539
3ivg_483	-8.800016
3ivg_48	-7.5884233
3ivg_494	-7.9905286
3ivg_497	-8.108584
3ivg_518	-6.852667
3ivg_531	-7.658825
3ivg_542	-7.8449597
3ivg_545	-8.322202
3ivg_548	-7.804833
3ivg_550	-7.086121
3ivg_55	-5.870726
3ivg_573	-6.783359
3ivg_590	-7.5625834
3ivg_608	-8.098324
3ivg_60	-7.792252
3ivg_624	-7.2647934
3ivg_635	-6.674358
3ivg_640	-6.8641896
3ivg_659	-8.236974
3ivg_699	-7.241649
3ivg_701	-9.220245
3ivg_703	-9.034672
3ivg_705	-8.966025
3ivg_706	-9.074047
3ivg_710	-7.2915497
3ivg_713	-9.0292425
3ivg_731	-8.355647
3ivg_733	-8.264618
3ivg_753	-8.013594
3ivg_761	-8.527342
3ivg_769	-7.3802943
3ivg_770	-9.002875
3ivg_776	-6.4189134
3ivg_779	-8.678879
3ivg_788	-6.362725
3ivg_793	-6.7477026
3ivg_794	-6.6385627
3ivg_80	-8.442789
3ivg_837	-8.153041
3ivg_849	-7.517031
3ivg_860	-7.4230423
3ivg_862	-7.5617237
3ivg_866	-7.887772
3ivg_899	-6.663858
3ivg_915	-5.8980894
3ivg_91	-8.029831
3ivg_924	-7.6970277
3ivg_926	-7.410761
3ivg_940	-6.640915
3ivg_946	-7.775473
3ivg_952	-6.282996
3ivg_954	-7.6719923
3ivg_961	-5.9935303
3ivg_983	-6.3090763
3ivg_989	-7.541275
3ivg_98	-7.581272
3ivg_993	-8.780594
3ivg_9	-8.606213
