#code	score
3kgp_20	-4.883909
3kgp_31	-4.8760757
3kgp_408	-5.6060743
3kgp_420	-6.4312253
3kgp_431	-5.4046373
3kgp_434	-6.2481556
3kgp_457	-5.2819295
3kgp_465	-4.9008536
3kgp_475	-6.048535
3kgp_477	-4.944295
3kgp_483	-6.8159614
3kgp_491	-6.752053
3kgp_492	-4.990376
3kgp_493	-4.8827457
3kgp_496	-4.710453
3kgp_504	-5.29265
3kgp_507	-5.5060425
3kgp_511	-4.1427603
3kgp_523	-5.0921803
3kgp_524	-3.864904
3kgp_528	-4.607978
3kgp_532	-4.6047187
3kgp_533	-4.5024447
3kgp_541	-4.2670393
3kgp_547	-4.2313843
3kgp_551	-4.7864323
3kgp_568	-6.001374
3kgp_573	-4.532975
3kgp_574	-5.2610025
3kgp_591	-4.1565037
3kgp_596	-5.0091753
3kgp_5	-4.8994584
3kgp_600	-4.081669
3kgp_610	-6.465437
3kgp_657	-5.380327
3kgp_661	-5.2760406
3kgp_687	-4.440602
3kgp_693	-4.1930213
3kgp_696	-4.6898313
3kgp_700	-4.448073
3kgp_715	-5.639011
3kgp_745	-4.939356
3kgp_750	-5.0629873
3kgp_757	-4.5914216
3kgp_763	-6.0397
3kgp_768	-5.9171877
3kgp_771	-4.1862764
3kgp_776	-4.181867
3kgp_777	-6.315519
3kgp_778	-4.1900287
3kgp_780	-4.2305837
3kgp_782	-4.063212
3kgp_783	-5.5662336
3kgp_784	-4.3413568
3kgp_785	-4.369742
3kgp_786	-4.2798605
3kgp_787	-6.0482802
3kgp_788	-4.2925816
3kgp_789	-4.362734
3kgp_790	-4.6477237
3kgp_791	-4.2914653
3kgp_792	-4.270474
3kgp_796	-4.5288477
3kgp_798	-4.252999
3kgp_799	-6.753486
