#code	score
3myg_104	-8.674987
3myg_110	-8.397864
3myg_115	-8.098735
3myg_140	-8.84904
3myg_159	-5.8524995
3myg_162	-7.734096
3myg_181	-8.272927
3myg_198	-7.575242
3myg_225	-8.828819
3myg_31	-7.859723
3myg_333	-8.861487
3myg_370	-7.931817
3myg_407	-8.19215
3myg_410	-7.8215857
3myg_422	-7.580642
3myg_427	-7.670558
3myg_435	-6.8009186
3myg_438	-8.463255
3myg_447	-7.175127
3myg_456	-7.56662
3myg_459	-7.1450334
3myg_462	-7.754334
3myg_463	-7.107915
3myg_470	-7.966809
3myg_472	-7.382608
3myg_475	-7.8283105
3myg_476	-8.157912
3myg_480	-7.366893
3myg_483	-8.87537
3myg_498	-8.059626
3myg_500	-8.515789
3myg_504	-6.7593794
3myg_526	-7.423692
3myg_542	-8.318342
3myg_548	-8.241238
3myg_550	-6.5337477
3myg_551	-6.351165
3myg_561	-7.78604
3myg_574	-7.7515793
3myg_577	-6.1227417
3myg_582	-8.089984
3myg_588	-5.847504
3myg_589	-7.0643992
3myg_591	-7.36497
3myg_600	-7.1159563
3myg_613	-7.7820897
3myg_644	-7.8765655
3myg_665	-6.9988093
3myg_667	-7.359275
3myg_684	-8.331659
3myg_693	-7.6917257
3myg_695	-8.219059
3myg_699	-7.950425
3myg_703	-8.416289
3myg_714	-8.6583395
3myg_725	-8.58263
3myg_729	-8.607898
3myg_733	-8.652882
3myg_737	-8.524053
3myg_741	-7.468612
3myg_743	-8.446596
3myg_745	-7.3222623
3myg_756	-7.5474505
3myg_761	-8.471624
3myg_762	-7.5331864
3myg_764	-5.1274505
3myg_767	-7.34503
3myg_768	-7.310368
3myg_769	-6.2171326
3myg_780	-8.3879
3myg_782	-5.906819
3myg_783	-7.757651
3myg_784	-8.050769
3myg_788	-6.021071
3myg_792	-6.498131
3myg_794	-7.716527
3myg_803	-8.790134
3myg_840	-8.633679
3myg_841	-7.6569033
3myg_846	-7.5826564
3myg_850	-8.204896
3myg_867	-8.644858
3myg_875	-8.035051
3myg_882	-7.995008
3myg_884	-6.054919
3myg_886	-7.4454007
3myg_887	-7.2576685
3myg_890	-8.697855
3myg_894	-7.999813
3myg_900	-8.868437
3myg_902	-8.712967
3myg_905	-9.014085
3myg_913	-8.845816
3myg_923	-8.756926
3myg_925	-9.156466
3myg_947	-8.334621
3myg_965	-8.592756
3myg_974	-7.033024
3myg_980	-8.493511
3myg_994	-8.425754
