#code	score
3p5o_104	-8.393026
3p5o_108	-9.123622
3p5o_114	-8.979642
3p5o_126	-9.13043
3p5o_141	-6.3984694
3p5o_165	-8.050292
3p5o_236	-10.004512
3p5o_238	-9.059265
3p5o_267	-8.638855
3p5o_287	-9.104927
3p5o_413	-7.900829
3p5o_414	-7.547361
3p5o_424	-8.900202
3p5o_427	-9.607552
3p5o_429	-8.867734
3p5o_439	-8.054058
3p5o_440	-9.152886
3p5o_442	-9.448841
3p5o_443	-7.363854
3p5o_452	-8.6965885
3p5o_456	-9.0148115
3p5o_457	-7.4262133
3p5o_462	-7.801781
3p5o_467	-8.909917
3p5o_471	-9.623074
3p5o_510	-8.841314
3p5o_513	-8.823971
3p5o_517	-7.5768733
3p5o_518	-9.050281
3p5o_521	-9.275684
3p5o_531	-8.403052
3p5o_538	-7.658205
3p5o_540	-7.514997
3p5o_543	-7.4919753
3p5o_551	-7.1040525
3p5o_566	-6.788929
3p5o_567	-7.046247
3p5o_568	-7.831944
3p5o_569	-6.419828
3p5o_570	-7.3048267
3p5o_576	-6.4932013
3p5o_581	-7.161196
3p5o_588	-6.434375
3p5o_594	-6.68125
3p5o_595	-8.580531
3p5o_596	-8.42561
3p5o_597	-8.028355
3p5o_632	-7.6311517
3p5o_650	-8.169206
3p5o_652	-6.2269626
3p5o_658	-9.012757
3p5o_679	-6.371181
3p5o_680	-7.708837
3p5o_686	-7.3413353
3p5o_689	-6.6488924
3p5o_690	-7.4845285
3p5o_692	-6.5144706
3p5o_694	-7.2827854
3p5o_695	-7.196985
3p5o_700	-9.212707
3p5o_724	-8.517834
3p5o_737	-8.228328
3p5o_752	-5.9345393
3p5o_759	-9.276999
3p5o_818	-9.001052
3p5o_835	-9.1057625
3p5o_840	-8.982429
3p5o_853	-8.003604
3p5o_926	-8.378077
3p5o_93	-9.368131
