#code	score
3prs_111	-8.081444
3prs_141	-10.884367
3prs_143	-8.145761
3prs_156	-9.124749
3prs_170	-8.433662
3prs_202	-11.409503
3prs_204	-10.268155
3prs_205	-11.342844
3prs_213	-12.149434
3prs_216	-10.93333
3prs_232	-11.332299
3prs_236	-11.432297
3prs_239	-11.884903
3prs_246	-11.380427
3prs_252	-10.516957
3prs_259	-11.332712
3prs_266	-11.868581
3prs_270	-10.481222
3prs_271	-9.871769
3prs_273	-12.168107
3prs_274	-10.748001
3prs_281	-10.887172
3prs_292	-10.235884
3prs_314	-11.298391
3prs_315	-9.920476
3prs_31	-8.54691
3prs_328	-8.409996
3prs_362	-9.872531
3prs_38	-9.719109
3prs_404	-10.175842
3prs_410	-9.17493
3prs_414	-11.3515625
3prs_415	-9.057988
3prs_419	-9.200485
3prs_424	-10.296025
3prs_427	-8.532184
3prs_430	-9.479458
3prs_438	-10.052047
3prs_440	-10.291903
3prs_448	-9.919454
3prs_454	-9.913711
3prs_456	-9.541008
3prs_477	-9.331794
3prs_488	-9.375067
3prs_490	-9.377109
3prs_493	-10.375565
3prs_496	-9.309629
3prs_498	-9.809928
3prs_505	-9.126749
3prs_506	-9.659839
3prs_507	-8.805203
3prs_556	-8.4178295
3prs_571	-9.174035
3prs_578	-7.544211
3prs_605	-9.462191
3prs_607	-9.704811
3prs_609	-9.477953
3prs_617	-9.585873
3prs_619	-8.886317
3prs_623	-9.015435
3prs_627	-9.915362
3prs_630	-9.206406
3prs_640	-9.4560585
3prs_641	-8.475193
3prs_642	-9.378835
3prs_643	-9.706142
3prs_651	-8.796219
3prs_656	-9.23183
3prs_658	-10.834064
3prs_671	-7.5442915
3prs_674	-9.11109
3prs_684	-9.865261
3prs_690	-8.199964
3prs_695	-8.655177
3prs_701	-11.552432
3prs_706	-12.19262
3prs_711	-11.123447
3prs_731	-10.714141
3prs_764	-11.698261
3prs_774	-11.415657
3prs_781	-11.964959
3prs_788	-11.60144
3prs_797	-8.848567
3prs_851	-11.440924
3prs_881	-11.216724
3prs_944	-11.133544
