#code	score
3tsk_134	-9.55925
3tsk_176	-9.254186
3tsk_259	-10.971421
3tsk_263	-10.33872
3tsk_273	-10.69822
3tsk_285	-11.301373
3tsk_294	-10.664865
3tsk_29	-8.177388
3tsk_31	-8.301083
3tsk_337	-9.499439
3tsk_344	-9.814007
3tsk_358	-9.332171
3tsk_380	-9.138917
3tsk_381	-10.137197
3tsk_382	-9.417105
3tsk_400	-9.342465
3tsk_402	-10.212704
3tsk_405	-9.132231
3tsk_40	-9.25192
3tsk_422	-9.467789
3tsk_423	-10.092984
3tsk_426	-8.522551
3tsk_430	-8.386376
3tsk_433	-8.804696
3tsk_441	-8.980883
3tsk_443	-9.340857
3tsk_444	-9.0680895
3tsk_455	-9.140543
3tsk_456	-8.600613
3tsk_458	-9.357981
3tsk_460	-8.933683
3tsk_461	-8.556853
3tsk_464	-8.056768
3tsk_465	-9.779832
3tsk_468	-10.094225
3tsk_475	-9.791391
3tsk_479	-8.413656
3tsk_487	-9.152701
3tsk_491	-7.598106
3tsk_495	-9.163248
3tsk_499	-9.835479
3tsk_500	-8.193529
3tsk_509	-7.978518
3tsk_512	-6.5132103
3tsk_522	-6.469128
3tsk_527	-9.189556
3tsk_532	-8.87583
3tsk_541	-8.100673
3tsk_547	-8.571063
3tsk_552	-6.704043
3tsk_557	-6.2634554
3tsk_561	-8.152392
3tsk_576	-9.779266
3tsk_580	-7.652206
3tsk_589	-5.1266212
3tsk_594	-7.0188613
3tsk_596	-8.362797
3tsk_598	-9.415419
3tsk_646	-7.2265143
3tsk_655	-6.8054457
3tsk_656	-6.151761
3tsk_668	-7.2170954
3tsk_669	-5.900378
3tsk_674	-5.9511914
3tsk_679	-8.993654
3tsk_696	-7.4407625
3tsk_700	-5.969375
3tsk_702	-8.302097
3tsk_713	-9.850403
3tsk_721	-8.202364
3tsk_733	-7.1355486
3tsk_767	-9.690661
3tsk_784	-6.3566785
3tsk_78	-9.482479
3tsk_803	-8.896824
3tsk_847	-8.99404
3tsk_870	-10.425787
3tsk_93	-9.1247015
3tsk_979	-7.730453
3tsk_980	-8.920239
