#code	score
3u8n_441	-7.7756677
3u8n_443	-7.6224957
3u8n_464	-7.999346
3u8n_468	-8.458627
3u8n_471	-7.3019333
3u8n_477	-7.746533
3u8n_482	-7.352969
3u8n_498	-8.168575
3u8n_509	-8.57696
3u8n_516	-8.281092
3u8n_529	-5.53108
3u8n_531	-7.6292996
3u8n_542	-8.40705
3u8n_557	-6.302908
3u8n_576	-5.7445574
3u8n_581	-8.126184
3u8n_622	-7.9097867
3u8n_648	-8.015327
3u8n_662	-7.905211
3u8n_675	-8.342046
3u8n_691	-6.906794
3u8n_693	-8.115342
3u8n_704	-9.3650875
3u8n_713	-8.747694
3u8n_718	-9.3046875
3u8n_724	-6.697769
3u8n_733	-6.6783695
3u8n_735	-6.4133706
3u8n_763	-6.6731696
3u8n_764	-6.7844677
3u8n_773	-6.390424
3u8n_774	-6.330112
3u8n_778	-7.7017827
3u8n_779	-5.489446
3u8n_780	-6.572495
3u8n_784	-6.744555
3u8n_785	-7.767331
3u8n_787	-8.082277
3u8n_788	-6.3106275
3u8n_789	-6.7439966
3u8n_790	-6.723159
3u8n_791	-9.878025
3u8n_792	-8.476472
3u8n_794	-7.391858
3u8n_798	-6.07131
3u8n_816	-8.641285
3u8n_822	-9.02457
3u8n_850	-8.613464
3u8n_869	-7.935142
3u8n_874	-7.942309
3u8n_893	-6.7246957
3u8n_894	-8.19117
3u8n_915	-9.017806
3u8n_928	-8.74679
3u8n_929	-9.079471
3u8n_963	-8.891341
3u8n_971	-9.060406
3u8n_974	-7.9915905
3u8n_981	-8.519676
3u8n_991	-9.048108
3u8n_998	-8.674998
