#code	score
3u9q_133	-5.9068823
3u9q_158	-6.0900254
3u9q_22	-6.201105
3u9q_234	-5.9070144
3u9q_238	-6.2444425
3u9q_252	-5.6585255
3u9q_268	-6.147202
3u9q_273	-5.8801346
3u9q_278	-5.8707013
3u9q_282	-6.0220265
3u9q_286	-6.2766776
3u9q_291	-5.7272315
3u9q_355	-5.5213094
3u9q_363	-5.253661
3u9q_386	-5.8195024
3u9q_407	-6.112028
3u9q_416	-5.6383476
3u9q_421	-5.8753767
3u9q_426	-5.909785
3u9q_451	-5.7270775
3u9q_458	-6.570107
3u9q_476	-6.387873
3u9q_477	-6.6013365
3u9q_480	-5.39378
3u9q_509	-5.9924626
3u9q_539	-5.6286902
3u9q_53	-5.924653
3u9q_540	-5.0069776
3u9q_546	-5.326653
3u9q_559	-5.461018
3u9q_562	-6.145133
3u9q_576	-5.775441
3u9q_602	-6.249822
3u9q_606	-5.26403
3u9q_619	-5.2555
3u9q_621	-5.72157
3u9q_623	-5.2448187
3u9q_629	-5.669323
3u9q_630	-5.3370504
3u9q_633	-5.5185657
3u9q_639	-5.7061534
3u9q_640	-5.6759706
3u9q_645	-5.8292923
3u9q_656	-5.9907885
3u9q_658	-5.7866063
3u9q_663	-5.6087003
3u9q_669	-5.698433
3u9q_680	-5.7738075
3u9q_682	-5.111169
3u9q_696	-5.973466
3u9q_750	-5.9289994
3u9q_753	-5.6218877
3u9q_756	-5.3948994
3u9q_760	-4.921007
3u9q_773	-6.022028
3u9q_778	-5.3847446
3u9q_783	-5.3471417
3u9q_784	-5.2884183
3u9q_788	-6.3379397
3u9q_793	-4.978351
3u9q_794	-5.08145
3u9q_810	-6.1012673
3u9q_860	-5.6108613
3u9q_867	-5.6862063
3u9q_877	-6.218836
3u9q_883	-5.5031404
3u9q_890	-5.5025887
3u9q_91	-6.086165
3u9q_938	-5.525027
3u9q_971	-5.545035
