#code	score
3uev_117	-6.46282
3uev_178	-6.4492893
3uev_194	-6.434181
3uev_233	-7.6665244
3uev_236	-6.686854
3uev_249	-6.5140686
3uev_266	-7.919026
3uev_272	-7.8077316
3uev_277	-7.768789
3uev_290	-7.3007174
3uev_36	-6.846076
3uev_37	-6.6916394
3uev_420	-6.7273393
3uev_444	-6.231302
3uev_451	-7.844768
3uev_452	-7.20541
3uev_455	-7.6017375
3uev_456	-6.219477
3uev_464	-5.937515
3uev_465	-6.790626
3uev_467	-6.1621256
3uev_474	-6.9471583
3uev_475	-6.8055043
3uev_483	-7.6875315
3uev_488	-6.773153
3uev_509	-6.3654246
3uev_544	-5.9540615
3uev_561	-5.0283065
3uev_566	-6.682106
3uev_569	-6.252657
3uev_573	-5.4012856
3uev_575	-6.380799
3uev_580	-7.013353
3uev_583	-6.1133256
3uev_585	-6.53595
3uev_590	-6.518017
3uev_591	-6.5320582
3uev_592	-7.4374394
3uev_598	-6.7291503
3uev_603	-6.30857
3uev_611	-5.621036
3uev_619	-6.0699906
3uev_621	-6.74658
3uev_62	-6.589249
3uev_645	-6.5610957
3uev_655	-5.3685718
3uev_659	-6.7435436
3uev_661	-5.84524
3uev_666	-6.6846905
3uev_673	-5.107459
3uev_675	-5.891615
3uev_684	-4.9481044
3uev_695	-5.1659403
3uev_700	-6.4485264
3uev_72	-6.5401945
3uev_731	-7.549846
3uev_749	-6.3658457
3uev_766	-5.9787927
3uev_778	-6.282962
3uev_793	-7.820757
3uev_794	-5.974166
3uev_800	-7.258357
3uev_80	-6.6519527
3uev_830	-6.7736177
3uev_937	-7.448141
3uev_957	-6.5721793
3uev_975	-6.33687
