#code	score
3utu_102	-8.051319
3utu_109	-8.448442
3utu_129	-8.805573
3utu_132	-8.597749
3utu_148	-6.8161554
3utu_154	-8.807801
3utu_162	-9.610495
3utu_164	-7.893255
3utu_166	-9.331546
3utu_170	-8.619464
3utu_180	-10.931959
3utu_183	-8.106378
3utu_185	-8.023202
3utu_192	-8.101477
3utu_200	-7.0828714
3utu_202	-11.771629
3utu_203	-11.775666
3utu_209	-12.483782
3utu_211	-12.124633
3utu_213	-10.845648
3utu_220	-10.810865
3utu_221	-11.958855
3utu_233	-11.030757
3utu_237	-12.233141
3utu_241	-11.922627
3utu_243	-9.8320675
3utu_249	-11.453688
3utu_250	-12.281871
3utu_253	-11.766267
3utu_255	-11.199092
3utu_271	-11.105939
3utu_283	-11.936371
3utu_2	-8.000827
3utu_300	-12.299034
3utu_321	-7.625082
3utu_33	-10.310378
3utu_340	-6.35477
3utu_349	-9.660074
3utu_36	-9.538473
3utu_374	-11.75046
3utu_409	-10.311612
3utu_422	-9.971368
3utu_433	-9.671157
3utu_436	-8.293842
3utu_473	-8.175651
3utu_474	-9.517021
3utu_475	-11.785596
3utu_491	-9.590874
3utu_50	-9.334086
3utu_532	-5.2152886
3utu_537	-6.225224
3utu_570	-9.285919
3utu_578	-8.259615
3utu_58	-8.250869
3utu_593	-8.643702
3utu_599	-5.1560683
3utu_606	-8.285906
3utu_61	-8.655707
3utu_620	-7.9947643
3utu_640	-7.6856318
3utu_683	-7.699333
3utu_687	-7.9540796
3utu_691	-8.345715
3utu_6	-8.821516
3utu_701	-11.514036
3utu_705	-10.95834
3utu_712	-10.9767065
3utu_713	-11.396145
3utu_722	-11.330055
3utu_725	-11.671134
3utu_730	-10.884705
3utu_741	-11.680751
3utu_747	-9.839761
3utu_751	-10.979768
3utu_759	-10.462455
3utu_75	-6.9200215
3utu_767	-11.451727
3utu_775	-11.44355
3utu_777	-11.293602
3utu_778	-10.566697
3utu_781	-10.300604
3utu_785	-10.870767
3utu_78	-8.713243
3utu_797	-11.674843
3utu_805	-11.696218
3utu_840	-11.402427
3utu_843	-11.133097
3utu_844	-12.014407
3utu_84	-8.986009
3utu_86	-7.6282973
3utu_94	-7.3707895
3utu_963	-10.19327
3utu_978	-10.746741
3utu_985	-10.970037
3utu_994	-11.25974
3utu_995	-11.340671
