#code	score
3wz8_109	-9.214163
3wz8_124	-8.993476
3wz8_136	-8.661713
3wz8_145	-7.8358335
3wz8_154	-9.010359
3wz8_243	-9.6613455
3wz8_296	-9.2338705
3wz8_313	-8.969652
3wz8_316	-7.4445233
3wz8_318	-8.168203
3wz8_323	-8.07036
3wz8_326	-7.4258056
3wz8_338	-8.848215
3wz8_364	-9.411652
3wz8_371	-8.768093
3wz8_376	-9.421605
3wz8_380	-8.711555
3wz8_391	-9.45725
3wz8_413	-8.817161
3wz8_418	-7.988927
3wz8_455	-9.556703
3wz8_462	-7.969326
3wz8_474	-8.116736
3wz8_479	-8.670132
3wz8_484	-8.361466
3wz8_492	-8.3458185
3wz8_4	-7.96964
3wz8_505	-6.946202
3wz8_507	-8.309222
3wz8_510	-7.7261753
3wz8_513	-7.864366
3wz8_514	-8.0320015
3wz8_524	-7.6455207
3wz8_527	-6.5404677
3wz8_529	-8.334619
3wz8_534	-9.121223
3wz8_542	-6.2655354
3wz8_544	-7.4027495
3wz8_546	-9.830888
3wz8_549	-6.544588
3wz8_554	-7.664237
3wz8_557	-8.199193
3wz8_558	-7.522032
3wz8_559	-5.787367
3wz8_566	-9.546985
3wz8_568	-6.1548996
3wz8_569	-7.366426
3wz8_570	-7.650917
3wz8_572	-6.6055913
3wz8_573	-7.8558545
3wz8_582	-7.1661654
3wz8_588	-7.39637
3wz8_596	-7.6192656
3wz8_600	-8.184234
3wz8_604	-7.9985914
3wz8_614	-7.658336
3wz8_617	-8.174137
3wz8_623	-7.5412107
3wz8_627	-9.126204
3wz8_631	-8.125473
3wz8_633	-7.474346
3wz8_641	-8.586986
3wz8_642	-8.481418
3wz8_645	-7.3578925
3wz8_651	-7.5175705
3wz8_657	-8.329089
3wz8_659	-8.822255
3wz8_667	-8.348556
3wz8_670	-8.250521
3wz8_671	-6.972124
3wz8_680	-6.5629907
3wz8_684	-8.805045
3wz8_686	-7.0240197
3wz8_688	-7.828244
3wz8_695	-7.8792906
3wz8_700	-7.868846
3wz8_705	-9.826466
3wz8_713	-9.374159
3wz8_721	-9.748
3wz8_782	-9.933732
3wz8_86	-9.813337
3wz8_946	-9.103593
3wz8_965	-9.787185
