#code	score
3zt2_116	-7.236461
3zt2_119	-7.1321106
3zt2_122	-6.878128
3zt2_136	-7.2271414
3zt2_173	-7.2788777
3zt2_182	-6.924624
3zt2_195	-7.4707704
3zt2_233	-7.24332
3zt2_250	-7.334239
3zt2_323	-7.4389625
3zt2_410	-7.3971076
3zt2_433	-7.610356
3zt2_444	-6.9939694
3zt2_463	-6.7930355
3zt2_472	-7.7525444
3zt2_473	-7.4365344
3zt2_474	-6.568857
3zt2_491	-6.9101315
3zt2_529	-7.209451
3zt2_541	-7.1498566
3zt2_561	-6.799044
3zt2_566	-6.968995
3zt2_568	-6.9520507
3zt2_571	-7.29692
3zt2_578	-6.720785
3zt2_585	-6.519238
3zt2_589	-7.232136
3zt2_592	-7.123978
3zt2_5	-7.3998184
3zt2_600	-5.910586
3zt2_649	-6.815697
3zt2_650	-6.89069
3zt2_656	-6.0725613
3zt2_670	-5.5531554
3zt2_680	-6.8926897
3zt2_684	-7.371532
3zt2_685	-7.357494
3zt2_687	-6.3671694
3zt2_694	-7.3149614
3zt2_696	-6.5967393
3zt2_697	-6.3303595
3zt2_707	-6.8781953
3zt2_728	-5.238681
3zt2_732	-7.0752554
3zt2_741	-7.0332966
3zt2_753	-5.5242367
3zt2_758	-5.446611
3zt2_760	-6.13691
3zt2_761	-5.553422
3zt2_774	-4.5851808
3zt2_781	-6.5836115
3zt2_782	-4.9337077
3zt2_784	-4.695311
3zt2_789	-6.585244
3zt2_793	-5.297872
3zt2_804	-7.0540786
3zt2_80	-7.19907
3zt2_818	-6.8426147
3zt2_838	-5.661464
3zt2_844	-6.4233346
3zt2_869	-5.5614505
3zt2_873	-5.620531
3zt2_8	-7.194413
