#code	score
4cr9_217	-5.957925
4cr9_232	-6.233485
4cr9_254	-6.1148715
4cr9_264	-5.9776464
4cr9_271	-6.0931063
4cr9_280	-6.206217
4cr9_286	-5.77138
4cr9_307	-5.332277
4cr9_358	-5.1176777
4cr9_359	-5.3049855
4cr9_408	-5.9538455
4cr9_411	-5.5712466
4cr9_423	-5.441856
4cr9_424	-5.3296223
4cr9_431	-4.860836
4cr9_434	-5.494042
4cr9_435	-5.1185646
4cr9_438	-5.805731
4cr9_480	-6.031374
4cr9_492	-5.136589
4cr9_503	-4.2067423
4cr9_534	-4.459457
4cr9_551	-4.629071
4cr9_559	-4.60005
4cr9_565	-4.2477245
4cr9_575	-4.3001018
4cr9_577	-4.244286
4cr9_580	-4.894219
4cr9_587	-5.1254063
4cr9_589	-4.216662
4cr9_595	-4.747291
4cr9_630	-5.0755234
4cr9_662	-4.981651
4cr9_666	-5.165847
4cr9_689	-4.5194626
4cr9_690	-5.4239388
4cr9_708	-3.5605278
4cr9_710	-4.458021
4cr9_715	-3.4601743
4cr9_717	-3.3687825
4cr9_726	-4.1503496
4cr9_730	-3.4606116
4cr9_734	-4.0538163
4cr9_741	-3.5865674
4cr9_743	-3.4906006
4cr9_746	-3.6462786
4cr9_748	-4.432836
4cr9_750	-3.5339823
4cr9_752	-3.440742
4cr9_754	-3.3711283
4cr9_755	-3.9044807
4cr9_758	-3.6324646
4cr9_759	-4.021707
4cr9_762	-3.9255629
4cr9_763	-3.8080406
4cr9_766	-3.9913805
4cr9_769	-3.8677177
4cr9_779	-3.7748666
4cr9_782	-3.926199
4cr9_783	-3.3922694
4cr9_789	-3.564877
4cr9_790	-3.7958994
4cr9_791	-4.241929
4cr9_792	-3.3267152
4cr9_794	-3.6567574
4cr9_795	-3.250523
4cr9_796	-4.1707587
4cr9_797	-3.2154732
4cr9_798	-3.2637644
4cr9_799	-3.1987271
4cr9_821	-3.3392932
4cr9_822	-4.523171
4cr9_843	-3.9423218
4cr9_849	-4.5279946
4cr9_855	-3.5336237
4cr9_861	-3.2830303
4cr9_864	-3.6026754
4cr9_869	-3.428986
4cr9_874	-3.8172843
4cr9_876	-3.5463412
4cr9_881	-3.5283813
4cr9_884	-3.5846524
4cr9_885	-3.6664026
4cr9_887	-3.5753548
4cr9_891	-3.976869
4cr9_894	-3.642421
4cr9_897	-3.5276687
4cr9_920	-4.8498716
4cr9_933	-3.5599833
4cr9_970	-3.7053416
4cr9_984	-3.745166
