#code	score
4crc_100	-8.909785
4crc_106	-7.5275407
4crc_120	-6.7651668
4crc_126	-8.107823
4crc_131	-9.318007
4crc_132	-8.451325
4crc_138	-9.523658
4crc_140	-7.759547
4crc_149	-9.016418
4crc_164	-9.7854395
4crc_168	-9.499897
4crc_175	-6.4929166
4crc_185	-9.641388
4crc_192	-8.9628
4crc_212	-10.84373
4crc_215	-10.289178
4crc_217	-10.647041
4crc_263	-10.128962
4crc_291	-10.460557
4crc_314	-10.147774
4crc_323	-7.1387506
4crc_368	-9.8646755
4crc_391	-8.110643
4crc_401	-8.498073
4crc_411	-9.042015
4crc_412	-9.775232
4crc_417	-7.2821703
4crc_423	-10.156184
4crc_426	-8.812165
4crc_443	-8.400183
4crc_447	-9.128412
4crc_464	-8.838171
4crc_475	-8.220659
4crc_480	-7.678512
4crc_481	-7.423962
4crc_485	-8.549468
4crc_486	-8.753908
4crc_493	-8.6391535
4crc_505	-9.165607
4crc_509	-8.802962
4crc_511	-9.060754
4crc_517	-8.227624
4crc_528	-8.092447
4crc_533	-8.88449
4crc_537	-8.575551
4crc_538	-7.6977534
4crc_542	-7.748282
4crc_544	-8.784524
4crc_549	-7.8655148
4crc_557	-8.011993
4crc_560	-8.450749
4crc_561	-9.320855
4crc_564	-9.687296
4crc_569	-7.312375
4crc_571	-8.073777
4crc_574	-7.5182347
4crc_575	-7.877536
4crc_586	-9.387436
4crc_588	-7.812395
4crc_590	-6.8957925
4crc_591	-7.5934315
4crc_592	-6.7599335
4crc_597	-8.51993
4crc_618	-8.1081
4crc_620	-9.516943
4crc_626	-8.225049
4crc_627	-8.869698
4crc_633	-10.1651745
4crc_636	-9.67072
4crc_644	-7.9005823
4crc_646	-7.606387
4crc_648	-9.034139
4crc_649	-8.541155
4crc_656	-7.874776
4crc_661	-7.3027277
4crc_665	-7.699222
4crc_673	-8.783554
4crc_680	-9.533819
4crc_682	-8.193321
4crc_685	-8.265394
4crc_694	-7.543279
4crc_716	-9.124222
4crc_717	-9.497379
4crc_724	-9.063017
4crc_734	-8.277724
4crc_743	-8.978555
4crc_758	-9.220559
4crc_770	-9.226086
4crc_821	-9.428831
4crc_840	-9.976252
4crc_968	-8.911409
4crc_99	-9.672109
