#code	score
4eor_121	-9.409103
4eor_145	-8.513039
4eor_155	-9.100409
4eor_257	-9.593416
4eor_267	-9.797769
4eor_309	-8.784245
4eor_31	-9.227453
4eor_346	-8.626481
4eor_361	-9.455469
4eor_403	-8.580861
4eor_408	-9.554926
4eor_414	-9.066695
4eor_424	-8.528897
4eor_425	-8.03274
4eor_427	-9.710908
4eor_430	-8.7358885
4eor_431	-9.0616045
4eor_446	-8.662689
4eor_448	-8.221906
4eor_450	-9.33211
4eor_455	-8.447268
4eor_465	-8.033853
4eor_474	-9.4248705
4eor_479	-8.6969595
4eor_480	-7.9188
4eor_483	-8.69785
4eor_485	-8.9144
4eor_494	-7.742496
4eor_501	-9.454175
4eor_506	-9.485762
4eor_511	-8.556194
4eor_513	-7.3808975
4eor_519	-7.262119
4eor_523	-7.053705
4eor_524	-6.966676
4eor_530	-8.0981045
4eor_536	-6.623213
4eor_539	-8.006359
4eor_541	-7.9150476
4eor_544	-8.091708
4eor_548	-8.237929
4eor_552	-9.240903
4eor_557	-8.475639
4eor_558	-9.413017
4eor_559	-8.163599
4eor_562	-7.450498
4eor_565	-8.943924
4eor_568	-8.941881
4eor_577	-8.968274
4eor_584	-8.70842
4eor_585	-8.6550255
4eor_588	-8.181982
4eor_592	-9.109405
4eor_595	-7.9370933
4eor_604	-8.916294
4eor_612	-8.705511
4eor_620	-7.370065
4eor_643	-8.090307
4eor_649	-8.73238
4eor_650	-7.8993726
4eor_652	-9.334602
4eor_659	-8.47068
4eor_666	-9.49755
4eor_672	-7.4203115
4eor_674	-8.831448
4eor_677	-7.136523
4eor_682	-7.2946754
4eor_687	-9.233034
4eor_690	-7.873186
4eor_697	-9.29081
4eor_69	-9.168385
4eor_701	-9.315945
4eor_712	-9.386753
4eor_718	-9.143397
4eor_72	-9.378407
4eor_736	-9.5145035
4eor_744	-9.038006
4eor_745	-8.873002
4eor_746	-7.6476226
4eor_749	-8.566589
4eor_757	-6.865241
4eor_760	-7.9627986
4eor_763	-6.7010274
4eor_764	-6.659394
4eor_769	-9.401635
4eor_773	-6.6442113
4eor_790	-9.404081
4eor_850	-9.227662
4eor_860	-9.382124
4eor_911	-9.358684
